"Production, transportation, and material moving occupations","18,253","2,198",12.0,"2,398",13.1,"18,742","2,315",12.4,"2,510",13.4
Production occupations,"7,647",827,10.8,912,11.9,"7,898",903,11.4,966,12.2
Transportation and material moving occupations,"10,605","1,371",12.9,"1,486",14.0,"10,844","1,412",13.0,"1,544",14.2
INDUSTRY,,,,,,,,,,
Private sector,"115,767","7,030",6.1,"8,055",7.0,"120,356","7,223",6.0,"8,167",6.8
Agriculture and related industries,"1,308",37,2.9,41,3.1,"1,252",48,3.9,54,4.3
Nonagricultural industries,"114,459","6,993",6.1,"8,014",7.0,"119,103","7,175",6.0,"8,113",6.8
"Mining, quarrying, and oil and gas extraction",561,32,5.7,34,6.0,556,36,6.5,43,7.7
Construction,"8,157","1,024",12.6,"1,112",13.6,"8,671","1,019",11.7,"1,076",12.4
Manufacturing,"14,134","1,082",7.7,"1,203",8.5,"14,577","1,139",7.8,"1,254",8.6
Durable goods,"8,986",668,7.4,749,8.3,"9,305",741,8.0,825,8.9
Nondurable goods,"5,148",414,8.0,453,8.8,"5,272",398,7.5,429,8.1
Wholesale and retail trade,"18,070",769,4.3,880,4.9,"17,868",742,4.2,861,4.8
Wholesale trade,"3,117",116,3.7,140,4.5,"2,879",94,3.3,112,3.9
Retail trade,"14,953",653,4.4,740,5.0,"14,988",648,4.3,749,5.0
Transportation and utilities,"7,057","1,086",15.4,"1,183",16.8,"7,564","1,148",15.2,"1,220",16.1
Transportation and warehousing,"6,055",889,14.7,974,16.1,"6,596",958,14.5,"1,020",15.5
Utilities,"1,002",197,19.7,209,20.9,968,190,19.6,200,20.7
Information(3),"2,274",226,10.0,253,11.1,"2,361",198,8.4,216,9.1
"Publishing, except Internet",311,17,5.6,22,7.2,398,19,4.8,24,6.0
Motion pictures and sound recording industries,352,61,17.3,64,18.3,429,74,17.3,76,17.8
Broadcasting (except internet),368,33,8.9,39,10.7,308,35,11.3,35,11.5
Telecommunications,843,100,11.9,109,13.0,771,64,8.3,72,9.3
Financial activities,"9,101",206,2.3,278,3.1,"9,335",169,1.8,237,2.5
Finance and insurance,"6,896",91,1.3,135,2.0,"7,117",90,1.3,136,1.9
Finance,"4,387",53,1.2,77,1.8,"4,523",59,1.3,89,2.0
Insurance,"2,510",38,1.5,58,2.3,"2,594",30,1.2,48,1.8
Real estate and rental and leasing,"2,205",114,5.2,143,6.5,"2,219",80,3.6,100,4.5
Professional and business services,"15,374",334,2.2,451,2.9,"16,572",373,2.2,467,2.8
Professional and technical services,"10,506",128,1.2,204,1.9,"11,182",143,1.3,202,1.8
"Management, administrative, and waste services","4,868",206,4.2,247,5.1,"5,390",230,4.3,265,4.9
Education and health services,"22,891","1,807",7.9,"2,109",9.2,"23,643","1,841",7.8,"2,140",9.0
Educational services,"4,694",607,12.9,712,15.2,"4,897",606,12.4,704,14.4
Health care and social assistance,"18,197","1,200",6.6,"1,397",7.7,"18,747","1,235",6.6,"1,436",7.7
Leisure and hospitality,"11,208",252,2.2,304,2.7,"12,026",342,2.8,406,3.4
"Arts, entertainment, and recreation","2,004",96,4.8,111,5.5,"2,281",144,6.3,173,7.6
Accommodation and food services,"9,203",156,1.7,192,2.1,"9,745",198,2.0,233,2.4
Accommodation,979,58,5.9,63,6.4,"1,174",81,6.9,85,7.3
Food services and drinking places,"8,225",98,1.2,129,1.6,"8,571",117,1.4,148,1.7
Other services(3),"5,632",176,3.1,208,3.7,"5,932",168,2.8,194,3.3
"Other services, except private households","4,987",158,3.2,190,3.8,"5,267",165,3.1,186,3.5
Public sector,"20,626","6,982",33.9,"7,747",37.6,"21,318","7,062",33.1,"7,835",36.8
Federal government,"3,820",951,24.9,"1,108",29.0,"3,989",972,24.4,"1,124",28.2
State government,"6,866","2,033",29.6,"2,273",33.1,"7,157","2,142",29.9,"2,372",33.1
Local government,"9,940","3,999",40.2,"4,367",43.9,"10,171","3,948",38.8,"4,339",42.7
