chamber,rollnumber,date,session,yea_count,nay_count,nominate_mid_1,nominate_mid_2,nominate_spread_1,nominate_spread_2,bill_number,vote_result,vote_desc,vote_question,issue_codes,peltzman_codes,clausen_codes,crs_policy_area,crs_subjects,congress_url
House,11,2013-01-15,1,367,52,-0.2,0.98,-0.14200000000000002,0.294,hres23,Passed,"Providing for consideration of the bill (H.R. 152) making supplemental appropriations for the fiscal year ending September 30, 2013, and for other purposes",On Agreeing to the Resolution,,['Budget Special Interest'],['Government Management'],Congress,"['House of Representatives', 'Legislative rules and procedure']",https://www.congress.gov/bill/113th-congress/house-resolution/23
House,12,2013-01-15,1,0,419,0.0,0.0,0.0,0.0,,Failed,,On Motion to Adjourn,,['Internal Organization'],['Miscellaneous Policy'],,,
House,13,2013-01-15,1,162,258,0.317,-0.516,-0.198,0.056,hr152,Failed,,On Agreeing to the Amendment,,['Budget Special Interest'],['Government Management'],Emergency Management,"['Appropriations', 'Army Corps of Engineers', 'Aviation and airports', 'Cemeteries and funerals', 'Child health', 'Coast guard', 'Computers and information technology', 'Congressional oversight', 'Defense spending', 'Department of Defense', 'Department of Health and Human Services', 'Department of Homeland Security', 'Department of Housing and Urban Development', 'Department of Transportation', 'Department of Veterans Affairs', 'Department of the Interior', 'Disaster relief and insurance', 'Economic development', 'Education programs funding', 'Emergency medical services and trauma care', 'Executive agency funding and structure', 'Family services', 'Federal Emergency Management Agency (FEMA)', 'Floods and storm protection', 'Food assistance and relief', 'Government lending and loan guarantees', 'Government studies and investigations', 'Health facilities and institutions', 'Health programs administration and funding', 'Housing and community development funding', 'Infrastructure development', 'Marine and coastal resources, fisheries', 'Military facilities and property', 'National Guard and reserves', 'National Railroad Passenger Corporation (Amtrak)', 'Natural disasters', 'Navigation, waterways, harbors', 'Oil and gas', 'Parks, recreation areas, trails', 'Preschool education', 'Public transit', 'Railroads', 'Small Business Administration', 'Small business', 'Social Security Administration', 'Transportation programs funding', ""Veterans' medical care"", 'Water quality', 'Wildlife conservation and habitat protection']",https://www.congress.gov/bill/113th-congress/house-bill/152
House,14,2013-01-15,1,327,91,0.536,-0.003,1.335,-0.435,hr152,Agreed to,,On Agreeing to the Amendment,,['Budget Special Interest'],['Government Management'],Emergency Management,"['Appropriations', 'Army Corps of Engineers', 'Aviation and airports', 'Cemeteries and funerals', 'Child health', 'Coast guard', 'Computers and information technology', 'Congressional oversight', 'Defense spending', 'Department of Defense', 'Department of Health and Human Services', 'Department of Homeland Security', 'Department of Housing and Urban Development', 'Department of Transportation', 'Department of Veterans Affairs', 'Department of the Interior', 'Disaster relief and insurance', 'Economic development', 'Education programs funding', 'Emergency medical services and trauma care', 'Executive agency funding and structure', 'Family services', 'Federal Emergency Management Agency (FEMA)', 'Floods and storm protection', 'Food assistance and relief', 'Government lending and loan guarantees', 'Government studies and investigations', 'Health facilities and institutions', 'Health programs administration and funding', 'Housing and community development funding', 'Infrastructure development', 'Marine and coastal resources, fisheries', 'Military facilities and property', 'National Guard and reserves', 'National Railroad Passenger Corporation (Amtrak)', 'Natural disasters', 'Navigation, waterways, harbors', 'Oil and gas', 'Parks, recreation areas, trails', 'Preschool education', 'Public transit', 'Railroads', 'Small Business Administration', 'Small business', 'Social Security Administration', 'Transportation programs funding', ""Veterans' medical care"", 'Water quality', 'Wildlife conservation and habitat protection']",https://www.congress.gov/bill/113th-congress/house-bill/152
House,15,2013-01-15,1,221,197,0.23,-0.35000000000000003,-0.223,-0.374,hr152,Agreed to,,On Agreeing to the Amendment,,['Budget Special Interest'],['Government Management'],Emergency Management,"['Appropriations', 'Army Corps of Engineers', 'Aviation and airports', 'Cemeteries and funerals', 'Child health', 'Coast guard', 'Computers and information technology', 'Congressional oversight', 'Defense spending', 'Department of Defense', 'Department of Health and Human Services', 'Department of Homeland Security', 'Department of Housing and Urban Development', 'Department of Transportation', 'Department of Veterans Affairs', 'Department of the Interior', 'Disaster relief and insurance', 'Economic development', 'Education programs funding', 'Emergency medical services and trauma care', 'Executive agency funding and structure', 'Family services', 'Federal Emergency Management Agency (FEMA)', 'Floods and storm protection', 'Food assistance and relief', 'Government lending and loan guarantees', 'Government studies and investigations', 'Health facilities and institutions', 'Health programs administration and funding', 'Housing and community development funding', 'Infrastructure development', 'Marine and coastal resources, fisheries', 'Military facilities and property', 'National Guard and reserves', 'National Railroad Passenger Corporation (Amtrak)', 'Natural disasters', 'Navigation, waterways, harbors', 'Oil and gas', 'Parks, recreation areas, trails', 'Preschool education', 'Public transit', 'Railroads', 'Small Business Administration', 'Small business', 'Social Security Administration', 'Transportation programs funding', ""Veterans' medical care"", 'Water quality', 'Wildlife conservation and habitat protection']",https://www.congress.gov/bill/113th-congress/house-bill/152
House,16,2013-01-15,1,206,214,0.218,-0.153,-0.218,-0.115,hr152,Failed,,On Agreeing to the Amendment,,['Budget Special Interest'],['Government Management'],Emergency Management,"['Appropriations', 'Army Corps of Engineers', 'Aviation and airports', 'Cemeteries and funerals', 'Child health', 'Coast guard', 'Computers and information technology', 'Congressional oversight', 'Defense spending', 'Department of Defense', 'Department of Health and Human Services', 'Department of Homeland Security', 'Department of Housing and Urban Development', 'Department of Transportation', 'Department of Veterans Affairs', 'Department of the Interior', 'Disaster relief and insurance', 'Economic development', 'Education programs funding', 'Emergency medical services and trauma care', 'Executive agency funding and structure', 'Family services', 'Federal Emergency Management Agency (FEMA)', 'Floods and storm protection', 'Food assistance and relief', 'Government lending and loan guarantees', 'Government studies and investigations', 'Health facilities and institutions', 'Health programs administration and funding', 'Housing and community development funding', 'Infrastructure development', 'Marine and coastal resources, fisheries', 'Military facilities and property', 'National Guard and reserves', 'National Railroad Passenger Corporation (Amtrak)', 'Natural disasters', 'Navigation, waterways, harbors', 'Oil and gas', 'Parks, recreation areas, trails', 'Preschool education', 'Public transit', 'Railroads', 'Small Business Administration', 'Small business', 'Social Security Administration', 'Transportation programs funding', ""Veterans' medical care"", 'Water quality', 'Wildlife conservation and habitat protection']",https://www.congress.gov/bill/113th-congress/house-bill/152
House,17,2013-01-15,1,202,217,0.21,0.059000000000000004,-1.213,-1.476,hr152,Failed,,On Agreeing to the Amendment,,['Budget Special Interest'],['Government Management'],Emergency Management,"['Appropriations', 'Army Corps of Engineers', 'Aviation and airports', 'Cemeteries and funerals', 'Child health', 'Coast guard', 'Computers and information technology', 'Congressional oversight', 'Defense spending', 'Department of Defense', 'Department of Health and Human Services', 'Department of Homeland Security', 'Department of Housing and Urban Development', 'Department of Transportation', 'Department of Veterans Affairs', 'Department of the Interior', 'Disaster relief and insurance', 'Economic development', 'Education programs funding', 'Emergency medical services and trauma care', 'Executive agency funding and structure', 'Family services', 'Federal Emergency Management Agency (FEMA)', 'Floods and storm protection', 'Food assistance and relief', 'Government lending and loan guarantees', 'Government studies and investigations', 'Health facilities and institutions', 'Health programs administration and funding', 'Housing and community development funding', 'Infrastructure development', 'Marine and coastal resources, fisheries', 'Military facilities and property', 'National Guard and reserves', 'National Railroad Passenger Corporation (Amtrak)', 'Natural disasters', 'Navigation, waterways, harbors', 'Oil and gas', 'Parks, recreation areas, trails', 'Preschool education', 'Public transit', 'Railroads', 'Small Business Administration', 'Small business', 'Social Security Administration', 'Transportation programs funding', ""Veterans' medical care"", 'Water quality', 'Wildlife conservation and habitat protection']",https://www.congress.gov/bill/113th-congress/house-bill/152
House,18,2013-01-15,1,216,205,0.178,-0.47300000000000003,-0.243,-0.092,hr152,Agreed to,,On Agreeing to the Amendment,,['Budget Special Interest'],['Government Management'],Emergency Management,"['Appropriations', 'Army Corps of Engineers', 'Aviation and airports', 'Cemeteries and funerals', 'Child health', 'Coast guard', 'Computers and information technology', 'Congressional oversight', 'Defense spending', 'Department of Defense', 'Department of Health and Human Services', 'Department of Homeland Security', 'Department of Housing and Urban Development', 'Department of Transportation', 'Department of Veterans Affairs', 'Department of the Interior', 'Disaster relief and insurance', 'Economic development', 'Education programs funding', 'Emergency medical services and trauma care', 'Executive agency funding and structure', 'Family services', 'Federal Emergency Management Agency (FEMA)', 'Floods and storm protection', 'Food assistance and relief', 'Government lending and loan guarantees', 'Government studies and investigations', 'Health facilities and institutions', 'Health programs administration and funding', 'Housing and community development funding', 'Infrastructure development', 'Marine and coastal resources, fisheries', 'Military facilities and property', 'National Guard and reserves', 'National Railroad Passenger Corporation (Amtrak)', 'Natural disasters', 'Navigation, waterways, harbors', 'Oil and gas', 'Parks, recreation areas, trails', 'Preschool education', 'Public transit', 'Railroads', 'Small Business Administration', 'Small business', 'Social Security Administration', 'Transportation programs funding', ""Veterans' medical care"", 'Water quality', 'Wildlife conservation and habitat protection']",https://www.congress.gov/bill/113th-congress/house-bill/152
House,19,2013-01-15,1,208,212,0.34900000000000003,-0.902,-0.261,-0.23600000000000002,hr152,Failed,,On Agreeing to the Amendment,,['Budget Special Interest'],['Government Management'],Emergency Management,"['Appropriations', 'Army Corps of Engineers', 'Aviation and airports', 'Cemeteries and funerals', 'Child health', 'Coast guard', 'Computers and information technology', 'Congressional oversight', 'Defense spending', 'Department of Defense', 'Department of Health and Human Services', 'Department of Homeland Security', 'Department of Housing and Urban Development', 'Department of Transportation', 'Department of Veterans Affairs', 'Department of the Interior', 'Disaster relief and insurance', 'Economic development', 'Education programs funding', 'Emergency medical services and trauma care', 'Executive agency funding and structure', 'Family services', 'Federal Emergency Management Agency (FEMA)', 'Floods and storm protection', 'Food assistance and relief', 'Government lending and loan guarantees', 'Government studies and investigations', 'Health facilities and institutions', 'Health programs administration and funding', 'Housing and community development funding', 'Infrastructure development', 'Marine and coastal resources, fisheries', 'Military facilities and property', 'National Guard and reserves', 'National Railroad Passenger Corporation (Amtrak)', 'Natural disasters', 'Navigation, waterways, harbors', 'Oil and gas', 'Parks, recreation areas, trails', 'Preschool education', 'Public transit', 'Railroads', 'Small Business Administration', 'Small business', 'Social Security Administration', 'Transportation programs funding', ""Veterans' medical care"", 'Water quality', 'Wildlife conservation and habitat protection']",https://www.congress.gov/bill/113th-congress/house-bill/152
House,20,2013-01-15,1,223,198,0.039,0.17,-0.23700000000000002,-0.339,hr152,Agreed to,,On Agreeing to the Amendment,['Public Lands'],['Budget Special Interest'],['Government Management'],Emergency Management,"['Appropriations', 'Army Corps of Engineers', 'Aviation and airports', 'Cemeteries and funerals', 'Child health', 'Coast guard', 'Computers and information technology', 'Congressional oversight', 'Defense spending', 'Department of Defense', 'Department of Health and Human Services', 'Department of Homeland Security', 'Department of Housing and Urban Development', 'Department of Transportation', 'Department of Veterans Affairs', 'Department of the Interior', 'Disaster relief and insurance', 'Economic development', 'Education programs funding', 'Emergency medical services and trauma care', 'Executive agency funding and structure', 'Family services', 'Federal Emergency Management Agency (FEMA)', 'Floods and storm protection', 'Food assistance and relief', 'Government lending and loan guarantees', 'Government studies and investigations', 'Health facilities and institutions', 'Health programs administration and funding', 'Housing and community development funding', 'Infrastructure development', 'Marine and coastal resources, fisheries', 'Military facilities and property', 'National Guard and reserves', 'National Railroad Passenger Corporation (Amtrak)', 'Natural disasters', 'Navigation, waterways, harbors', 'Oil and gas', 'Parks, recreation areas, trails', 'Preschool education', 'Public transit', 'Railroads', 'Small Business Administration', 'Small business', 'Social Security Administration', 'Transportation programs funding', ""Veterans' medical care"", 'Water quality', 'Wildlife conservation and habitat protection']",https://www.congress.gov/bill/113th-congress/house-bill/152
House,21,2013-01-15,1,228,192,0.234,0.965,1.334,0.166,hr152,Agreed to,,On Agreeing to the Amendment,,['Budget Special Interest'],['Government Management'],Emergency Management,"['Appropriations', 'Army Corps of Engineers', 'Aviation and airports', 'Cemeteries and funerals', 'Child health', 'Coast guard', 'Computers and information technology', 'Congressional oversight', 'Defense spending', 'Department of Defense', 'Department of Health and Human Services', 'Department of Homeland Security', 'Department of Housing and Urban Development', 'Department of Transportation', 'Department of Veterans Affairs', 'Department of the Interior', 'Disaster relief and insurance', 'Economic development', 'Education programs funding', 'Emergency medical services and trauma care', 'Executive agency funding and structure', 'Family services', 'Federal Emergency Management Agency (FEMA)', 'Floods and storm protection', 'Food assistance and relief', 'Government lending and loan guarantees', 'Government studies and investigations', 'Health facilities and institutions', 'Health programs administration and funding', 'Housing and community development funding', 'Infrastructure development', 'Marine and coastal resources, fisheries', 'Military facilities and property', 'National Guard and reserves', 'National Railroad Passenger Corporation (Amtrak)', 'Natural disasters', 'Navigation, waterways, harbors', 'Oil and gas', 'Parks, recreation areas, trails', 'Preschool education', 'Public transit', 'Railroads', 'Small Business Administration', 'Small business', 'Social Security Administration', 'Transportation programs funding', ""Veterans' medical care"", 'Water quality', 'Wildlife conservation and habitat protection']",https://www.congress.gov/bill/113th-congress/house-bill/152
House,22,2013-01-15,1,241,180,0.324,-0.34400000000000003,1.355,0.379,hr152,Passed,"Making supplemental appropriations for the fiscal year ending September 30, 2013, and for other purposes",On Passage,,['Budget Special Interest'],['Government Management'],Emergency Management,"['Appropriations', 'Army Corps of Engineers', 'Aviation and airports', 'Cemeteries and funerals', 'Child health', 'Coast guard', 'Computers and information technology', 'Congressional oversight', 'Defense spending', 'Department of Defense', 'Department of Health and Human Services', 'Department of Homeland Security', 'Department of Housing and Urban Development', 'Department of Transportation', 'Department of Veterans Affairs', 'Department of the Interior', 'Disaster relief and insurance', 'Economic development', 'Education programs funding', 'Emergency medical services and trauma care', 'Executive agency funding and structure', 'Family services', 'Federal Emergency Management Agency (FEMA)', 'Floods and storm protection', 'Food assistance and relief', 'Government lending and loan guarantees', 'Government studies and investigations', 'Health facilities and institutions', 'Health programs administration and funding', 'Housing and community development funding', 'Infrastructure development', 'Marine and coastal resources, fisheries', 'Military facilities and property', 'National Guard and reserves', 'National Railroad Passenger Corporation (Amtrak)', 'Natural disasters', 'Navigation, waterways, harbors', 'Oil and gas', 'Parks, recreation areas, trails', 'Preschool education', 'Public transit', 'Railroads', 'Small Business Administration', 'Small business', 'Social Security Administration', 'Transportation programs funding', ""Veterans' medical care"", 'Water quality', 'Wildlife conservation and habitat protection']",https://www.congress.gov/bill/113th-congress/house-bill/152
House,23,2013-01-22,1,395,29,0.782,-0.228,1.514,-0.326,hr307,Passed,"To reauthorize certain programs under the Public Health Service Act and the Federal Food, Drug, and Cosmetic Act with respect to public health security and all-hazards preparedness and response, and for other purposes",On Motion to Suspend the Rules and Pass,['Public Health'],"['Domestic Social Policy', 'Budget Special Interest']",['Social Welfare'],Health,"['Administrative law and regulatory procedures', 'Advanced technology and technological innovations', 'Advisory bodies', 'Chemical and biological weapons', 'Child health', 'Congressional oversight', 'Department of Health and Human Services', 'Department of Veterans Affairs', 'Drug safety, medical device, and laboratory regulation', 'Emergency medical services and trauma care', 'Emergency planning and evacuation', 'Executive agency funding and structure', 'Food and Drug Administration (FDA)', 'Government employee pay, benefits, personnel management', 'Government information and archives', 'Government studies and investigations', 'Health facilities and institutions', 'Health information and medical records', 'Health personnel', 'Health programs administration and funding', 'Home and outpatient care', 'Hospital care', 'Immunology and vaccination', 'Infectious and parasitic diseases', 'Manufacturing', 'Medical education', 'Medical research', 'Medical tests and diagnostic methods', 'Nuclear weapons', 'Prescription drugs', 'Radioactive wastes and releases', 'Research administration and funding', 'Research and development', 'Social work, volunteer service, charitable organizations', 'Strategic materials and reserves', 'Terrorism', ""Veterans' medical care""]",https://www.congress.gov/bill/113th-congress/house-bill/307
House,24,2013-01-22,1,0,416,0.0,0.0,0.0,0.0,,Failed,,On Motion to Adjourn,,['Internal Organization'],['Miscellaneous Policy'],,,
House,25,2013-01-23,1,232,193,-0.024,0.28700000000000003,-0.706,0.625,hres39,Passed,"Providing for consideration of the bill (H.R. 325) to ensure the complete and timely payment of the obligations of the United States Government until May 19, 2013, and for other purposes",On Ordering the Previous Question,['Debt Ceilings'],['Budget General Interest'],['Government Management'],Congress,"['House of Representatives', 'Legislative rules and procedure']",https://www.congress.gov/bill/113th-congress/house-resolution/39
House,26,2013-01-23,1,234,190,-0.038,0.156,-1.298,-0.091,hres39,Passed,"Providing for consideration of the bill (H.R. 325) to ensure the complete and timely payment of the obligations of the United States Government until May 19, 2013, and for other purposes",On Agreeing to the Resolution,['Debt Ceilings'],['Budget General Interest'],['Government Management'],Congress,"['House of Representatives', 'Legislative rules and procedure']",https://www.congress.gov/bill/113th-congress/house-resolution/39
House,27,2013-01-23,1,291,129,0.793,-0.609,0.022,-0.17500000000000002,,Passed,,On Approving the Journal,,['Internal Organization'],['Miscellaneous Policy'],,,
House,28,2013-01-23,1,151,277,0.164,0.986,0.164,-0.276,hr325,Failed,"To ensure the complete and timely payment of the obligations of the United States Government until May 19, 2013, and for other purposes",On Motion to Recommit with Instructions,['Debt Ceilings'],['Budget General Interest'],['Government Management'],Economics and Public Finance,"['Budget deficits and national debt', 'Budget process', 'Congressional oversight', 'Government employee pay, benefits, personnel management', 'Members of Congress']",https://www.congress.gov/bill/113th-congress/house-bill/325
House,29,2013-01-23,1,285,144,-0.593,0.805,-0.176,-0.312,hr325,Passed,"To ensure the complete and timely payment of the obligations of the United States Government until May 19, 2013, and for other purposes",On Passage,['Debt Ceilings'],['Budget General Interest'],['Government Management'],Economics and Public Finance,"['Budget deficits and national debt', 'Budget process', 'Congressional oversight', 'Government employee pay, benefits, personnel management', 'Members of Congress']",https://www.congress.gov/bill/113th-congress/house-bill/325
House,30,2013-02-04,1,375,27,0.724,-0.507,1.2610000000000001,-0.115,hr225,Passed,"To amend title IV of the Public Health Service Act to provide for a National Pediatric Research Network, including with respect to pediatric rare diseases or conditions",On Motion to Suspend the Rules and Pass,"['Children (aid, infant mortality, etc.)', 'Public Health']",['Budget Special Interest'],['Social Welfare'],Health,"['Birth defects', 'Child health', 'Government information and archives', 'Health information and medical records', 'Health programs administration and funding', 'Hereditary and development disorders', 'Medical education', 'Medical research', 'Research administration and funding']",https://www.congress.gov/bill/113th-congress/house-bill/225
House,31,2013-02-04,1,352,50,0.661,-0.6960000000000001,1.039,0.20700000000000002,hr297,Passed,To amend the Public Health Service Act to reauthorize support for graduate medical education programs in children’s hospitals,On Motion to Suspend the Rules and Pass,"['Children (aid, infant mortality, etc.)', 'Public Health']",['Budget Special Interest'],['Social Welfare'],Health,"['Child health', 'Congressional oversight', 'Education programs funding', 'Health facilities and institutions', 'Health programs administration and funding', 'Medical education']",https://www.congress.gov/bill/113th-congress/house-bill/297
House,32,2013-02-05,1,229,188,0.167,-0.812,-0.668,-0.841,hres48,Passed,"Providing for consideration of the bill (H.R. 444) to require that, if the President’s fiscal year 2014 budget does not achieve balance in a fiscal year covered by such budget, the President shall submit a supplemental unified budget by April 1, 2013, which identifies a fiscal year in which balance is achieved",On Ordering the Previous Question,['Budget resolution '],"['Budget General Interest', 'Government Organization']",['Government Management'],Congress,"['House of Representatives', 'Legislative rules and procedure']",https://www.congress.gov/bill/113th-congress/house-resolution/48
House,33,2013-02-05,1,228,189,0.12,0.8220000000000001,-0.964,0.928,hres48,Passed,"Providing for consideration of the bill (H.R. 444) to require that, if the President’s fiscal year 2014 budget does not achieve balance in a fiscal year covered by such budget, the President shall submit a supplemental unified budget by April 1, 2013, which identifies a fiscal year in which balance is achieved",On Agreeing to the Resolution,['Budget resolution '],"['Budget General Interest', 'Government Organization']",['Government Management'],Congress,"['House of Representatives', 'Legislative rules and procedure']",https://www.congress.gov/bill/113th-congress/house-resolution/48
House,34,2013-02-06,1,194,228,-0.08,0.997,1.186,0.559,hr444,Failed,,On Agreeing to the Amendment,['Budget resolution '],"['Budget General Interest', 'Government Organization']",['Government Management'],Economics and Public Finance,"['Budget deficits and national debt', 'Budget process', 'Congressional-executive branch relations']",https://www.congress.gov/bill/113th-congress/house-bill/444
House,35,2013-02-06,1,75,348,0.052000000000000005,0.997,0.044,-0.274,hr444,Failed,,On Agreeing to the Amendment,['Budget resolution '],"['Budget General Interest', 'Government Organization']",['Government Management'],Economics and Public Finance,"['Budget deficits and national debt', 'Budget process', 'Congressional-executive branch relations']",https://www.congress.gov/bill/113th-congress/house-bill/444
House,36,2013-02-06,1,194,229,-0.005,0.02,0.724,0.341,hr444,Failed,"To require that, if the President’s fiscal year 2014 budget does not achieve balance in a fiscal year covered by such budget, the President shall submit a supplemental unified budget by April 1, 2013, which identifies a fiscal year in which balance is achieved, and for other purposes",On Motion to Recommit with Instructions,['Budget resolution '],"['Budget General Interest', 'Government Organization']",['Government Management'],Economics and Public Finance,"['Budget deficits and national debt', 'Budget process', 'Congressional-executive branch relations']",https://www.congress.gov/bill/113th-congress/house-bill/444
House,37,2013-02-06,1,253,167,-0.216,0.281,-0.289,-0.164,hr444,Passed,"To require that, if the President’s fiscal year 2014 budget does not achieve balance in a fiscal year covered by such budget, the President shall submit a supplemental unified budget by April 1, 2013, which identifies a fiscal year in which balance is achieved, and for other purposes",On Passage,['Budget resolution '],"['Budget General Interest', 'Government Organization']",['Government Management'],Economics and Public Finance,"['Budget deficits and national debt', 'Budget process', 'Congressional-executive branch relations']",https://www.congress.gov/bill/113th-congress/house-bill/444
House,38,2013-02-13,1,354,72,-0.223,-0.47100000000000003,-0.107,-0.553,hr592,Passed,"To amend the Robert T. Stafford Disaster Relief and Emergency Assistance Act to clarify that houses of worship are eligible for certain disaster relief and emergency assistance on terms equal to other eligible private nonprofit facilities, and for other purposes",On Motion to Suspend the Rules and Pass,['Religion'],['Budget Special Interest'],['Social Welfare'],Emergency Management,"['Community life and organization', 'Disaster relief and insurance', 'Religion', 'Tax-exempt organizations']",https://www.congress.gov/bill/113th-congress/house-bill/592
House,39,2013-02-13,1,422,0,0.0,0.0,0.0,0.0,hr267,Passed,Hydropower Regulatory Efficiency Act of 2013,On Motion to Suspend the Rules and Pass,['Energy'],['Regulation Special Interest'],['Government Management'],Water Resources Development,"['Administrative law and regulatory procedures', 'Administrative remedies', 'Alternative and renewable resources', 'Congressional oversight', 'Dams and canals', 'Department of Energy', 'Electric power generation and transmission', 'Federal Energy Regulatory Commission (FERC)', 'Government studies and investigations', 'Licensing and registrations', 'Water storage', 'Water use and supply']",https://www.congress.gov/bill/113th-congress/house-bill/267
