candidate_id,candidate_name,committee_id,committee_name,count,cycle,support_oppose_indicator,total
H4AZ06045,"SCHWEIKERT, DAVID",C00166710,ARIZONA STATE DEMOCRATIC CENTRAL EXECUTIVE COMMITTEE,1,2012,O,635.58
H4AZ06045,"SCHWEIKERT, DAVID",C00196246,AMERICAN ACADEMY OF OPHTHALMOLOGY INC POLITICAL COMMITTEE (OPHTHPAC),1,2012,S,18339.0
H4AZ06045,"SCHWEIKERT, DAVID",C00298141,NATIONAL TAXPAYERS UNION CAMPAIGN FUND,1,2012,S,2.61
H4AZ06045,"SCHWEIKERT, DAVID",C00499020,FREEDOMWORKS FOR AMERICA,6,2012,S,18566.06
H4AZ06045,"SCHWEIKERT, DAVID",C00523035,FRIENDS OF THE MAJORITY,10,2012,O,745755.04
H4AZ06045,"SCHWEIKERT, DAVID",C00525899,CONCERNED AMERICAN VOTERS,27,2012,S,11407.51
H2AZ08094,"BARBER, RONALD",C00008227,ARIZONA REPUBLICAN PARTY,8,2012,O,126166.82
H2AZ08094,"BARBER, RONALD",C00075820,NATIONAL REPUBLICAN CONGRESSIONAL COMMITTEE,28,2012,O,1281216.12
H2AZ08094,"BARBER, RONALD",C00135368,SIERRA CLUB POLITICAL COMMITTEE,3,2012,S,320.0
H2AZ08094,"BARBER, RONALD",C00487363,AMERICAN CROSSROADS,3,2012,O,99252.0
H2AZ08094,"BARBER, RONALD",C90004185,NARAL Pro-Choice America,3,2012,S,258.36
H2AZ08094,"BARBER, RONALD",C90011685,THE 60 PLUS ASSOCIATION,2,2012,O,350500.0
H2AZ08094,"BARBER, RONALD",C90014036,ARDA-ROC,1,2012,S,54708.57
H2AZ09019,"SINEMA, KYRSTEN",C00075820,NATIONAL REPUBLICAN CONGRESSIONAL COMMITTEE,15,2012,O,1433863.18
H2AZ09019,"SINEMA, KYRSTEN",C00135368,SIERRA CLUB POLITICAL COMMITTEE,1,2012,S,300.0
H2AZ09019,"SINEMA, KYRSTEN",C00473918,WOMEN VOTE!,7,2012,S,100507.44
H2AZ09019,"SINEMA, KYRSTEN",C00503540,JAN PAC,1,2012,O,23256.74
H2AZ09019,"SINEMA, KYRSTEN",C00504530,CONGRESSIONAL LEADERSHIP FUND,4,2012,O,572748.88
H2AZ09019,"SINEMA, KYRSTEN",C00508440,HUMAN RIGHTS CAMPAIGN EQUALITY VOTES,2,2012,S,19.73
H2AZ09019,"SINEMA, KYRSTEN",C00526673,FAIR SHARE ACTION,4,2012,S,27337.66
H2AZ09019,"SINEMA, KYRSTEN",C00526970,PROGRESSIVE INDEPENDENT COMMITTEE,9,2012,O,72231.7
H2AZ09019,"SINEMA, KYRSTEN",C90009358,HUMANE SOCIETY LEGISLATIVE FUND,23,2012,S,9708.38
H2AZ09019,"SINEMA, KYRSTEN",C90011677,AMERICAN FUTURE FUND,6,2012,O,573361.67
H2AZ09019,"SINEMA, KYRSTEN",C90011685,THE 60 PLUS ASSOCIATION,1,2012,O,170000.0
H2AZ02055,"PASTOR, ED L",C00135368,SIERRA CLUB POLITICAL COMMITTEE,3,2012,S,610.0
H4AZ01038,"SALMON, MATT",C00111278,NATIONAL RIGHT TO LIFE POLITICAL ACTION COMMITTEE,1,2012,S,1.54
H4AZ01038,"SALMON, MATT",C00298141,NATIONAL TAXPAYERS UNION CAMPAIGN FUND,1,2012,S,2.61
H4AZ01038,"SALMON, MATT",C00432260,CLUB FOR GROWTH PAC,11,2012,S,7930.63
H4AZ01038,"SALMON, MATT",C00519363,NATIONAL HORIZON,3,2012,S,41330.0
H4AZ01038,"SALMON, MATT",C90011685,THE 60 PLUS ASSOCIATION,1,2012,S,175.0
H4AZ01038,"SALMON, MATT",C90013277,ARIZONA PUBLIC INTEGRITY ALLIANCE CHARITABLE TRUST,4,2012,O,15757.58
H0AR01083,"CRAWFORD, ERIC ALAN RICK",C00495028,HOUSE MAJORITY PAC,4,2012,O,13240.92
H0AR01083,"CRAWFORD, ERIC ALAN RICK",C90011230,AMERICAN ACTION NETWORK INC,1,2012,S,418.5
H0AR02107,"GRIFFIN, JOHN TIMOTHY",C00495028,HOUSE MAJORITY PAC,4,2012,O,60258.78
H2AR04083,"COTTON, THOMAS",C00111278,NATIONAL RIGHT TO LIFE POLITICAL ACTION COMMITTEE,1,2012,S,14.19
H2AR04083,"COTTON, THOMAS",C00298141,NATIONAL TAXPAYERS UNION CAMPAIGN FUND,1,2012,S,2.61
H2AR04083,"COTTON, THOMAS",C00432260,CLUB FOR GROWTH PAC,20,2012,S,17188.38
H2AR04083,"COTTON, THOMAS",C90011115,INDEPENDENT WOMEN'S VOICE,2,2012,S,2555.24
H2AR04083,"COTTON, THOMAS",C90011685,THE 60 PLUS ASSOCIATION,2,2012,S,7691.85
H6CA07043,"MILLER, GEORGE",C00135368,SIERRA CLUB POLITICAL COMMITTEE,1,2012,S,10.0
H6CA07043,"MILLER, GEORGE",C00325704,KUCINICH ACTION PAC,1,2012,S,1371.95
H6CA07043,"MILLER, GEORGE",C00448688,POKER PLAYERS ALLIANCE POLITICAL ACTION COMMITTEE,1,2012,S,41.6
H6CA07043,"MILLER, GEORGE",C90014028,J STREET,1,2012,S,440.13
H6CA24048,"WAXMAN, HENRY A",C00135368,SIERRA CLUB POLITICAL COMMITTEE,2,2012,S,160.0
H6CA24048,"WAXMAN, HENRY A",C00526640,COMMITTEE FOR AN EFFECTIVE AND TRUSTED CONGRESSMAN,2,2012,S,100000.0
H6CA24048,"WAXMAN, HENRY A",C90004185,NARAL Pro-Choice America,1,2012,S,43.75
H8CA05035,"PELOSI, NANCY",C00135368,SIERRA CLUB POLITICAL COMMITTEE,2,2012,S,310.0
H8CA05035,"PELOSI, NANCY",C00392928,SAN FRANCISCO DEMOCRATIC COUNTY CENTRAL COMMITTEE,1,2012,S,474.79
H8CA05035,"PELOSI, NANCY",C00455378,THE NATIONAL REPUBLICAN TRUST PAC,2,2012,O,6250.0
H8CA05035,"PELOSI, NANCY",C00487470,CLUB FOR GROWTH ACTION,2,2012,O,472.4
H8CA05035,"PELOSI, NANCY",C90004185,NARAL Pro-Choice America,1,2012,S,43.75
H8CA05035,"PELOSI, NANCY",C90011313,SUSAN B ANTHONY LIST INC,2,2012,O,69.31
H8CA42061,"ROHRABACHER, DANA",C00298141,NATIONAL TAXPAYERS UNION CAMPAIGN FUND,1,2012,S,2.61
H0CA15148,"HONDA, MIKE",C00135368,SIERRA CLUB POLITICAL COMMITTEE,2,2012,S,310.0
H0CA15148,"HONDA, MIKE",C90014028,J STREET,1,2012,S,440.13
H0CA27085,"SCHIFF, ADAM",C00135368,SIERRA CLUB POLITICAL COMMITTEE,1,2012,S,10.0
H0CA49055,"DAVIS, SUSAN A",C00135368,SIERRA CLUB POLITICAL COMMITTEE,1,2012,S,10.0
H0CA49055,"DAVIS, SUSAN A",C00520312,"AMERICAN FEDERATION OF TEACHERS GUILD, LOCAL 1931 SAN DIEGO AND GROSSMONT - CUYAMACA COMMUNITY COLLEGES FEDERAL COMMITTEE ON POLITICAL EDUCATION",4,2012,S,957.76
H0CA49055,"DAVIS, SUSAN A",C90011412,PLANNED PARENTHOOD ACTION FUND OF THE PACIFIC SOUTHWEST,1,2012,S,4.88
H0CA49055,"DAVIS, SUSAN A",C90014028,J STREET,1,2012,S,440.13
H2CA39078,"SANCHEZ, LINDA",C00135368,SIERRA CLUB POLITICAL COMMITTEE,1,2012,S,10.0
H4CA20082,"COSTA, JIM",C00492116,COOPERATIVE OF AMERICAN PHYSICIANS IE COMMITTEE,5,2012,S,43995.34
H4CA20082,"COSTA, JIM",C00532382,CENTRAL VALLEY INDEPENDENT PAC,4,2012,O,210929.0
H6CA05195,"MATSUI, DORIS",C00135368,SIERRA CLUB POLITICAL COMMITTEE,2,2012,S,310.0
H6CA05195,"MATSUI, DORIS",C00453712,YOLO COUNTY DEMOCRATIC CENTRAL COMMITTEE - FEDERAL ACCOUNT,1,2012,S,19.23
H6CA48039,"CAMPBELL, JOHN BT III",C00298141,NATIONAL TAXPAYERS UNION CAMPAIGN FUND,1,2012,S,2.61
H6CA48039,"CAMPBELL, JOHN BT III",C90009358,HUMANE SOCIETY LEGISLATIVE FUND,4,2012,S,33.47
H4CA11081,"MCNERNEY, JERRY",C00075820,NATIONAL REPUBLICAN CONGRESSIONAL COMMITTEE,17,2012,O,2456273.94
H4CA11081,"MCNERNEY, JERRY",C00135368,SIERRA CLUB POLITICAL COMMITTEE,2,2012,S,310.0
H4CA11081,"MCNERNEY, JERRY",C00495028,HOUSE MAJORITY PAC,1,2012,S,2506.8
H4CA11081,"MCNERNEY, JERRY",C00514224,AMERICANS FOR ACCOUNTABILITY IN LEADERSHIP,5,2012,O,47607.14
H4CA11081,"MCNERNEY, JERRY",C00525618,AMERICA SHINING,1,2012,O,15.0
H4CA11081,"MCNERNEY, JERRY",C00527226,WE VOTE - NOSOTROS VOTAMOS - PPAMM COMMITTEE,2,2012,S,5400.0
H4CA11081,"MCNERNEY, JERRY",C90007311,PLANNED PARENTHOOD ADVOCATES MAR MONTE,16,2012,S,7139.38
H4CA11081,"MCNERNEY, JERRY",C90009358,HUMANE SOCIETY LEGISLATIVE FUND,19,2012,S,8206.25
H4CA11081,"MCNERNEY, JERRY",C90011230,AMERICAN ACTION NETWORK INC,1,2012,O,17116.0
H4CA11081,"MCNERNEY, JERRY",C90012634,SERVICE EMPLOYEE INTERNATIONAL UNION LOCAL 1000,1,2012,S,318.0
H4CA11081,"MCNERNEY, JERRY",C90013145,US CHAMBER OF COMMERCE,1,2012,O,490000.0
H8CA12171,"SPEIER, JACKIE",C00135368,SIERRA CLUB POLITICAL COMMITTEE,1,2012,S,10.0
H8CA12171,"SPEIER, JACKIE",C00325704,KUCINICH ACTION PAC,1,2012,S,1371.95
H8CA12171,"SPEIER, JACKIE",C90004185,NARAL Pro-Choice America,1,2012,S,43.75
H8CA12171,"SPEIER, JACKIE",C90014028,J STREET,1,2012,S,440.13
H8CA04152,"MCCLINTOCK, THOMAS",C00298141,NATIONAL TAXPAYERS UNION CAMPAIGN FUND,1,2012,S,2.61
H0CA32101,"CHU, JUDY",C00135368,SIERRA CLUB POLITICAL COMMITTEE,1,2012,S,10.0
H0CA32101,"CHU, JUDY",C00302711,ALHAMBRA DEMOCRATIC CLUB - FED,1,2012,S,1325.85
H0CA32101,"CHU, JUDY",C90004185,NARAL Pro-Choice America,1,2012,S,43.75
H0CA10149,"GARAMENDI, JOHN",C00135368,SIERRA CLUB POLITICAL COMMITTEE,2,2012,S,310.0
H0CA10149,"GARAMENDI, JOHN",C00453712,YOLO COUNTY DEMOCRATIC CENTRAL COMMITTEE - FEDERAL ACCOUNT,1,2012,S,19.23
H0CA10149,"GARAMENDI, JOHN",C00455865,SOLANO UNITED-SCDCC FEDERAL ACCOUNT,2,2012,S,246.44
H0CA10149,"GARAMENDI, JOHN",C00514224,AMERICANS FOR ACCOUNTABILITY IN LEADERSHIP,11,2012,O,84175.45
H0CA10149,"GARAMENDI, JOHN",C90011230,AMERICAN ACTION NETWORK INC,1,2012,O,17209.0
H0CA10149,"GARAMENDI, JOHN",C90014028,J STREET,1,2012,S,440.13
H0CA19173,"DENHAM, JEFF",C00000935,DEMOCRATIC CONGRESSIONAL CAMPAIGN COMMITTEE,2,2012,O,186505.2
H0CA19173,"DENHAM, JEFF",C00004036,SEIU COPE (SERVICE EMPLOYEES INTERNATIONAL UNION COMMITTEE ON POLITICAL EDUCATION),2,2012,O,151612.5
H0CA19173,"DENHAM, JEFF",C00105668,DEMOCRATIC STATE CENTRAL COMMITTEE OF CA - FEDERAL,5,2012,O,1852.25
H0CA19173,"DENHAM, JEFF",C00111278,NATIONAL RIGHT TO LIFE POLITICAL ACTION COMMITTEE,3,2012,S,7228.27
H0CA19173,"DENHAM, JEFF",C00492116,COOPERATIVE OF AMERICAN PHYSICIANS IE COMMITTEE,3,2012,S,50000.0
H0CA19173,"DENHAM, JEFF",C00495028,HOUSE MAJORITY PAC,3,2012,O,391313.75
H0CA19173,"DENHAM, JEFF",C00527226,WE VOTE - NOSOTROS VOTAMOS - PPAMM COMMITTEE,2,2012,O,1800.0
H0CA19173,"DENHAM, JEFF",C90009358,HUMANE SOCIETY LEGISLATIVE FUND,8,2012,S,140.66
H0CA19173,"DENHAM, JEFF",C90011230,AMERICAN ACTION NETWORK INC,1,2012,S,17116.0
H0CA19173,"DENHAM, JEFF",C90013301,NATIONAL RIFLE ASSOCIATION INSTITUTE FOR LEGISLATIVE ACTION,8,2012,S,11169.03
H0CA19173,"DENHAM, JEFF",C90014036,ARDA-ROC,1,2012,S,19033.33
H0CA33117,"BASS, KAREN",C00135368,SIERRA CLUB POLITICAL COMMITTEE,1,2012,S,10.0
H0CA33117,"BASS, KAREN",C90013806,COMMITTEE TO PROTECT THE POLITICAL RIGHTS OF MINORITIES,14,2012,S,1133.25
H8CA36097,"HAHN, JANICE",C00135368,SIERRA CLUB POLITICAL COMMITTEE,1,2012,S,10.0
H8CA36097,"HAHN, JANICE",C00176214,INTERNATIONAL LONGSHORE AND WAREHOUSE UNION -- POLITICAL ACTION FUND,2,2012,S,1610.0
H8CA36097,"HAHN, JANICE",C00300731,LOS ANGELES COUNTY DEMOCRATIC CENTRAL COMMITTEE,2,2012,S,1141.89
H8CA36097,"HAHN, JANICE",C00455378,THE NATIONAL REPUBLICAN TRUST PAC,1,2012,O,2500.0
H8CA36097,"HAHN, JANICE",C00492116,COOPERATIVE OF AMERICAN PHYSICIANS IE COMMITTEE,4,2012,S,102184.0
H8CA36097,"HAHN, JANICE",C00497461,TURN RIGHT USA,1,2012,O,5792.12
H8CA36097,"HAHN, JANICE",C00499780,UNITED FIREFIGHTERS OF LOS ANGELES CITY LOCAL #112- FEDERAL,2,2012,S,1447.6
H8CA36097,"HAHN, JANICE",C90004185,NARAL Pro-Choice America,2,2012,S,24.26
H2CA02142,"LAMALFA, DOUG",C00041954,CALIFORNIA FARM BUREAU FEDERATION FUND TO PROTECT THE FAMILY FARM (FARM PAC ),3,2012,S,248.37
H2CA02142,"LAMALFA, DOUG",C00111278,NATIONAL RIGHT TO LIFE POLITICAL ACTION COMMITTEE,1,2012,S,14.19
H2CA02142,"LAMALFA, DOUG",C00509075,CITIZENS FOR PROSPERITY AND GOOD GOVERNMENT,2,2012,S,54500.0
H2CA06259,"HUFFMAN, JARED",C00135368,SIERRA CLUB POLITICAL COMMITTEE,1,2012,S,10.0
H2CA06259,"HUFFMAN, JARED",C90009358,HUMANE SOCIETY LEGISLATIVE FUND,17,2012,S,241.31
H2CA06259,"HUFFMAN, JARED",C90014028,J STREET,1,2012,S,440.13
H0CA03078,"BERA, AMERISH",C00000422,AMERICAN MEDICAL ASSOCIATION POLITICAL ACTION COMMITTEE,2,2012,S,246934.64
H0CA03078,"BERA, AMERISH",C00004036,SEIU COPE (SERVICE EMPLOYEES INTERNATIONAL UNION COMMITTEE ON POLITICAL EDUCATION),1,2012,S,526.51
H0CA03078,"BERA, AMERISH",C00075820,NATIONAL REPUBLICAN CONGRESSIONAL COMMITTEE,16,2012,O,2426554.57
H0CA03078,"BERA, AMERISH",C00135368,SIERRA CLUB POLITICAL COMMITTEE,1,2012,S,300.0
H0CA03078,"BERA, AMERISH",C00252940,LEAGUE OF CONSERVATION VOTERS ACTION FUND,4,2012,S,67.38
H0CA03078,"BERA, AMERISH",C00255752,AMERICAN SOCIETY OF ANESTHESIOLOGISTS POLITICAL ACTION COMMITTEE,1,2012,S,75000.0
H0CA03078,"BERA, AMERISH",C00364158,THE AMERICAN CONGRESS OF OB-GYNS PAC (OB-GYN PAC),4,2012,S,40595.2
H0CA03078,"BERA, AMERISH",C00490375,NATIONAL NURSES UNITED FOR PATIENT PROTECTION,3,2012,S,54500.0
H0CA03078,"BERA, AMERISH",C00492553,CALIFORNIA ASSOCIATION OF PHYSICIAN GROUPS (CAPG) PHYSICIANS INDEPENDENT EXPENDITURE COMMI,1,2012,S,28081.0
H0CA03078,"BERA, AMERISH",C00527226,WE VOTE - NOSOTROS VOTAMOS - PPAMM COMMITTEE,4,2012,S,16100.0
H0CA03078,"BERA, AMERISH",C00531814,ENVIRONMENT AMERICA ACTION FUND,6,2012,S,52397.13
H0CA03078,"BERA, AMERISH",C90005786,LEAGUE OF CONSERVATION VOTERS INC,1,2012,S,13525.2
H0CA03078,"BERA, AMERISH",C90007311,PLANNED PARENTHOOD ADVOCATES MAR MONTE,17,2012,S,9511.97
H0CA03078,"BERA, AMERISH",C90010570,FAIR SHARE ALLIANCE INC,1,2012,S,19.23
H0CA03078,"BERA, AMERISH",C90012113,CAMPAIGN FOR COMMUNITY CHANGE,1,2012,S,14.68
H0CA03078,"BERA, AMERISH",C90012287,CALIFORNIA STATE COUNCIL OF SERVICE EMPLOYEES,7,2012,S,1131.0
H0CA03078,"BERA, AMERISH",C90012634,SERVICE EMPLOYEE INTERNATIONAL UNION LOCAL 1000,3,2012,S,12134.54
H0CA03078,"BERA, AMERISH",C90013145,US CHAMBER OF COMMERCE,1,2012,O,490000.0
H0CA03078,"BERA, AMERISH",C90014028,J STREET,1,2012,S,440.13
H2CA08164,"COOK, PAUL",C00492116,COOPERATIVE OF AMERICAN PHYSICIANS IE COMMITTEE,3,2012,S,51475.26
H2CA08164,"COOK, PAUL",C00509075,CITIZENS FOR PROSPERITY AND GOOD GOVERNMENT,2,2012,S,10388.69
H2CA08164,"COOK, PAUL",C00510701,JOBS OPPORTUNITY AND FREEDOM POLITICAL ACTION COMMITTEE - JOFPAC,1,2012,O,12971.0
H2CA08164,"COOK, PAUL",C00520981,STAND WITH AMERICA,2,2012,S,73390.54
H2CA08164,"COOK, PAUL",C00521211,SPIRIT OF DEMOCRACY AMERICA,31,2012,S,824643.33
H2CA08164,"COOK, PAUL",C90014523,SAN BERNARDINO COUNTY SAFETY EMPLOYEES' BENEFIT ASSOCIATION LOCAL PAC,2,2012,S,1508.28
H2CA15094,"SWALWELL, ERIC MICHAEL",C00527226,WE VOTE - NOSOTROS VOTAMOS - PPAMM COMMITTEE,1,2012,O,12789.77
H2CA15094,"SWALWELL, ERIC MICHAEL",C00528174,ALPHA VALLEY BUSINESS AND TECHNOLOGY CONSORTIUM,2,2012,S,32705.97
H2CA20094,"VALADAO, DAVID",C00111278,NATIONAL RIGHT TO LIFE POLITICAL ACTION COMMITTEE,3,2012,S,1185.86
H2CA20094,"VALADAO, DAVID",C90013038,YG NETWORK INC.,1,2012,S,27466.66
H2CA20094,"VALADAO, DAVID",C90013301,NATIONAL RIFLE ASSOCIATION INSTITUTE FOR LEGISLATIVE ACTION,4,2012,S,7016.51
H2CA00120,"BROWNLEY, JULIA",C00000935,DEMOCRATIC CONGRESSIONAL CAMPAIGN COMMITTEE,5,2012,S,16413.85
H2CA00120,"BROWNLEY, JULIA",C00075820,NATIONAL REPUBLICAN CONGRESSIONAL COMMITTEE,5,2012,O,467196.03
H2CA00120,"BROWNLEY, JULIA",C00135368,SIERRA CLUB POLITICAL COMMITTEE,1,2012,S,300.0
H2CA00120,"BROWNLEY, JULIA",C00252940,LEAGUE OF CONSERVATION VOTERS ACTION FUND,4,2012,S,67.69
H2CA00120,"BROWNLEY, JULIA",C00460717,WORKING BLUE DEMOCRATIC CLUB,2,2012,S,262.89
H2CA00120,"BROWNLEY, JULIA",C00473918,WOMEN VOTE!,5,2012,S,100316.87
H2CA00120,"BROWNLEY, JULIA",C00490375,NATIONAL NURSES UNITED FOR PATIENT PROTECTION,3,2012,S,30020.04
H2CA00120,"BROWNLEY, JULIA",C00495028,HOUSE MAJORITY PAC,7,2012,S,607539.37
H2CA00120,"BROWNLEY, JULIA",C00510701,JOBS OPPORTUNITY AND FREEDOM POLITICAL ACTION COMMITTEE - JOFPAC,6,2012,O,98132.0
H2CA00120,"BROWNLEY, JULIA",C90004185,NARAL Pro-Choice America,2,2012,S,7394.6
H2CA00120,"BROWNLEY, JULIA",C90005786,LEAGUE OF CONSERVATION VOTERS INC,1,2012,S,100000.0
H2CA00120,"BROWNLEY, JULIA",C90006701,THE PLANNED PARENTHOOD ACTION FUND OF,38,2012,S,8054.24
H2CA00120,"BROWNLEY, JULIA",C90010570,FAIR SHARE ALLIANCE INC,1,2012,S,19.23
H2CA00120,"BROWNLEY, JULIA",C90011230,AMERICAN ACTION NETWORK INC,8,2012,O,142150.65
H2CA00120,"BROWNLEY, JULIA",C90011677,AMERICAN FUTURE FUND,1,2012,O,500000.0
H2CA00120,"BROWNLEY, JULIA",C90011677,AMERICAN FUTURE FUND,1,2012,S,841.64
H2CA00120,"BROWNLEY, JULIA",C90012626,HUMAN RIGHTS CAMPAIGN,1,2012,S,25.0
H2CA00120,"BROWNLEY, JULIA",C90013103,CALIFORNIA LEAGUE OF CONSERVATION VOTERS,1,2012,S,89240.0
H2CA00120,"BROWNLEY, JULIA",C90013145,US CHAMBER OF COMMERCE,1,2012,O,400000.0
H2CA00120,"BROWNLEY, JULIA",C90014242,PLANNED PARENTHOOD SHASTA PACIFIC ACTION FUND,5,2012,S,591.42
H2CA28113,"CARDENAS, TONY",C90009358,HUMANE SOCIETY LEGISLATIVE FUND,9,2012,S,156.98
H2CA35118,"MCLEOD, GLORIA NEGRETE",C00473918,WOMEN VOTE!,4,2012,S,136106.9
H2CA35118,"MCLEOD, GLORIA NEGRETE",C00532705,INDEPENDENCE USA PAC,4,2012,S,3000423.85
H2CA35118,"MCLEOD, GLORIA NEGRETE",C90012139,PLANNED PARENTHOOD ORANGE AND SAN BERNARDINO COUNTIES ACTION FUND,2,2012,S,1061.34
H2CA35118,"MCLEOD, GLORIA NEGRETE",C90014523,SAN BERNARDINO COUNTY SAFETY EMPLOYEES' BENEFIT ASSOCIATION LOCAL PAC,2,2012,S,744.82
H2CA36439,"RUIZ, RAUL DR.",C00075820,NATIONAL REPUBLICAN CONGRESSIONAL COMMITTEE,8,2012,O,630829.58
H2CA36439,"RUIZ, RAUL DR.",C00135368,SIERRA CLUB POLITICAL COMMITTEE,2,2012,S,310.0
H2CA36439,"RUIZ, RAUL DR.",C00140061,NATIONAL EMERGENCY MEDICINE POLITICAL ACTION COMMITTEE,1,2012,S,52656.45
H2CA36439,"RUIZ, RAUL DR.",C00325704,KUCINICH ACTION PAC,2,2012,S,2757.1
H2CA36439,"RUIZ, RAUL DR.",C00523589,AMERICAN UNITY PAC INC,5,2012,O,423555.99
H2CA36439,"RUIZ, RAUL DR.",C00524249,CALIFORNIANS FOR A STRONGER AMERICA,3,2012,O,120000.0
H2CA36439,"RUIZ, RAUL DR.",C90011412,PLANNED PARENTHOOD ACTION FUND OF THE PACIFIC SOUTHWEST,3,2012,S,657.7
H2CA36439,"RUIZ, RAUL DR.",C90011719,CROSSROADS GRASSROOTS POLICY STRATEGIES,4,2012,O,312338.63
H2CA36439,"RUIZ, RAUL DR.",C90014317,VOTO LATINO ACTION FUND,2,2012,S,16801.15
H2CA43245,"TAKANO, MARK",C00135368,SIERRA CLUB POLITICAL COMMITTEE,2,2012,S,310.0
H2CA43245,"TAKANO, MARK",C00490375,NATIONAL NURSES UNITED FOR PATIENT PROTECTION,42,2012,S,33781.49
H2CA43245,"TAKANO, MARK",C00508440,HUMAN RIGHTS CAMPAIGN EQUALITY VOTES,2,2012,S,19.73
H2CA43245,"TAKANO, MARK",C00509463,PROTECTING OUR VOTE PAC,1,2012,S,964.8
H2CA43245,"TAKANO, MARK",C00532929,CALIFORNIANS FOR SACRED SITES PROTECTION,2,2012,S,44121.67
H2CA43245,"TAKANO, MARK",C90011412,PLANNED PARENTHOOD ACTION FUND OF THE PACIFIC SOUTHWEST,17,2012,S,2602.01
H2CA43245,"TAKANO, MARK",C90013145,US CHAMBER OF COMMERCE,1,2012,O,220000.0
H2CA00104,"LOWENTHAL, ALAN",C00135368,SIERRA CLUB POLITICAL COMMITTEE,2,2012,S,310.0
H2CA00104,"LOWENTHAL, ALAN",C00176420,DEMOCRATIC FOUNDATION OF ORANGE COUNTY,1,2012,S,870.94
H2CA00104,"LOWENTHAL, ALAN",C00252940,LEAGUE OF CONSERVATION VOTERS ACTION FUND,4,2012,S,67.52
