committee_id,committee_name,count,recipient_id,recipient_name,total
C00040279,ABBOTT LABORATORIES EMPLOYEE POLITICAL ACTION COMMITTEE,4,C00340356,ADVANCED MEDICAL TECHNOLOGY ASSOCIATION POLITICAL ACTION COMMITTEE,10000.0
C00357863,BOSTON SCIENTIFIC CORPORATION POLITICAL ACTION COMMITTEE (BSC PAC),2,C00340356,ADVANCED MEDICAL TECHNOLOGY ASSOCIATION POLITICAL ACTION COMMITTEE,5000.0
C00359125,C. R. BARD INC. ACTIVE CITIZENSHIP COMMITTEE,2,C00340356,ADVANCED MEDICAL TECHNOLOGY ASSOCIATION POLITICAL ACTION COMMITTEE,10000.0
C00368720,STERIS CORPORATION EMPLOYEE POLITICAL ACTION COMMITTEE (A.K.A. STERIS EMPLOYEE PAC),2,C00340356,ADVANCED MEDICAL TECHNOLOGY ASSOCIATION POLITICAL ACTION COMMITTEE,10000.0
C00388652,"TERUMO BCT, INC.",2,C00340356,ADVANCED MEDICAL TECHNOLOGY ASSOCIATION POLITICAL ACTION COMMITTEE,10000.0
C00411900,EDWARDS LIFESCIENCES POLITICAL ACTION COMMITTEE (A.K.A. EDWARDS PAC),2,C00340356,ADVANCED MEDICAL TECHNOLOGY ASSOCIATION POLITICAL ACTION COMMITTEE,10000.0
C00426445,ABIOMED INC POLITICAL ACTION COMMITTEE (ABIOMED PAC),2,C00340356,ADVANCED MEDICAL TECHNOLOGY ASSOCIATION POLITICAL ACTION COMMITTEE,5000.0
C00448993,"HILL-ROM HOLDINGS, INC. POLITICAL ACTION COMMITTEE (HRPAC)",2,C00340356,ADVANCED MEDICAL TECHNOLOGY ASSOCIATION POLITICAL ACTION COMMITTEE,4000.0
C00281162,BAYER US LLC EMPLOYEE POLITICAL ACTION COMMITTEE (BAYERPAC),1,C00340356,ADVANCED MEDICAL TECHNOLOGY ASSOCIATION POLITICAL ACTION COMMITTEE,1000.0
C00311878,MEDTRONIC INC. PAC,2,C00340356,ADVANCED MEDICAL TECHNOLOGY ASSOCIATION POLITICAL ACTION COMMITTEE,10000.0
C00055582,NY REPUBLICAN FEDERAL CAMPAIGN COMMITTEE,1,C00374447,AECOM US FEDERAL PAC,10000.0
C00035683,RAYTHEON TECHNOLOGIES CORPORATION PAC (FORMERLY UTC PAC),1,C00464453,AEROSPACE INDUSTRIES ASSOCIATION OF AMERICA INC POLITICAL ACTION COMMITTEE (AIAPAC),5000.0
C00432401,BEN NELSON 2012,1,C00181826,AETNA INC. POLITICAL ACTION COMMITTEE,5000.0
C00279521,ARIZONA FUND,1,C00181826,AETNA INC. POLITICAL ACTION COMMITTEE,500.0
C00412304,MONTANANS FOR TESTER,3,C00034157,AFLAC PAC,1000.0
C00417550,FRIENDS OF DAN MAFFEI,1,C00034157,AFLAC PAC,2000.0
C00432401,BEN NELSON 2012,1,C00034157,AFLAC PAC,5000.0
C00291955,OLYMPIA'S LIST,2,C00034157,AFLAC PAC,4500.0
C00003590,UNITED STEELWORKERS POLITICAL ACTION FUND,1,C00003806,AFL-CIO COPE POLITICAL CONTRIBUTIONS COMMITTEE,5000.0
C00011114,AMERICAN FEDERATION OF STATE COUNTY & MUNICIPAL EMPLOYEES  P E O P L E,1,C00003806,AFL-CIO COPE POLITICAL CONTRIBUTIONS COMMITTEE,5000.0
C00027342,INTERNATIONAL BROTHERHOOD OF ELECTRICAL WORKERS POLITICAL ACTION COMMITTEE,3,C00003806,AFL-CIO COPE POLITICAL CONTRIBUTIONS COMMITTEE,5500.0
C00028860,"AMERICAN FEDERATION OF TEACHERS, AFL-CIO COMMITTEE ON POLITICAL EDUCATION",1,C00003806,AFL-CIO COPE POLITICAL CONTRIBUTIONS COMMITTEE,175000.0
C00498907,DEB FISCHER FOR US SENATE,1,C00207308,"AG PROCESSING INC POLITICAL ACTION COMMITTEE, AGPAC",5000.0
C00248849,CROPLIFE AMERICA POLITICAL ACTION COMMITTEE,1,C00264770,AGRICULTURAL RETAILERS ASSOCIATION POLITICAL ACTION COMMITTE,275.0
C00096156,HONEYWELL INTERNATIONAL POLITICAL ACTION COMMITTEE,1,C00131185,AIRCRAFT OWNERS AND PILOTS ASSOCIATION POLITICAL ACTION COMMITTEE,1500.0
C00432401,BEN NELSON 2012,1,C00131185,AIRCRAFT OWNERS AND PILOTS ASSOCIATION POLITICAL ACTION COMMITTEE,3500.0
C00238725,NATIONAL AIR TRAFFIC CONTROLLERS ASSOCIATION PAC,1,C00035451,AIR LINE PILOTS ASSOCIATION PAC,5000.0
C00114439,WASHINGTON STATE DEMOCRATIC CENTRAL COMMITTEE,1,C00035451,AIR LINE PILOTS ASSOCIATION PAC,2500.0
C00064766,UNITED PARCEL SERVICE INC. PAC,2,C00114694,AIRLINES FOR AMERICA (A4A) POLITICAL ACTION COMMITTEE,10000.0
C00478099,"ATLAS AIR WORLDWIDE HOLDINGS, INC. POLITICAL ACTION COMMITTEE",1,C00114694,AIRLINES FOR AMERICA (A4A) POLITICAL ACTION COMMITTEE,5000.0
C00039578,THE COUNCIL OF INSURANCE AGENTS & BROKERS POLITICAL ACTION COMMITTEE,1,C00341800,AIRPORTS COUNCIL INTERNATIONAL-NORTH AMERICA POLITICAL ACTION COMMITTEE (AIRPORT PAC),2000.0
C00207969,NATIONAL CUSTOMS BROKERS & FORWARDERS ASSOCIATION PAC,1,C00341800,AIRPORTS COUNCIL INTERNATIONAL-NORTH AMERICA POLITICAL ACTION COMMITTEE (AIRPORT PAC),1000.0
C00291955,OLYMPIA'S LIST,1,C00341800,AIRPORTS COUNCIL INTERNATIONAL-NORTH AMERICA POLITICAL ACTION COMMITTEE (AIRPORT PAC),1000.0
C00325332,AMERICAN SENIORS HOUSING ASSOCIATION (SENIORS HOUSING PAC),2,C00341800,AIRPORTS COUNCIL INTERNATIONAL-NORTH AMERICA POLITICAL ACTION COMMITTEE (AIRPORT PAC),10000.0
C00478354,BOEHNER FOR SPEAKER,1,C00280008,AKERMAN SENTERFITT & EIDSON PA - PAC,3500.0
C00183962,CADENCE BANK PAC,1,C00367094,ALABAMA BANKERS ASSOCIATION FEDERAL PAC AL BANKPAC,2500.0
C00048181,WISCONSIN BANKERS ASSOCIATION (WISBANKPAC),1,C00367094,ALABAMA BANKERS ASSOCIATION FEDERAL PAC AL BANKPAC,20000.0
C00228858,"BANCTRUST FINANCIAL GROUP, INC. PAC",2,C00367094,ALABAMA BANKERS ASSOCIATION FEDERAL PAC AL BANKPAC,2000.0
C00432252,REGIONS FINANCIAL CORPORATION POLITICAL ACTION COMMITTEE,1,C00367094,ALABAMA BANKERS ASSOCIATION FEDERAL PAC AL BANKPAC,5000.0
C00142596,"BBVA PAC OF THE PNC FINANCIAL SERVICES GROUP, INC.",2,C00367094,ALABAMA BANKERS ASSOCIATION FEDERAL PAC AL BANKPAC,10000.0
C00400705,"PUBLIX SUPER MARKETS, INC. ASSOCIATES POLITICAL ACTION COMMITTEE",1,C00511014,ALABAMA RETAIL ASSOCIATION PAC,5000.0
C00432401,BEN NELSON 2012,1,C00377333,ALBEMARLE CORPORATION POLITICAL ACTION COMMITTEE,2500.0
C00067231,"HCA HEALTHCARE, INC. GOOD GOVERNMENT FUND",1,C00017681,ALEXANDER AND BALDWIN INC FEDPAC,5000.0
C00430686,WEBB FOR SENATE,1,C00335232,ALLEGHENY ENERGY INC. FEDERAL POLITICAL ACTION COMMITTEE,1000.0
C00492108,BRUNING FOR SENATE INCORPORATED,1,C00330233,"ALLIANCE COAL, LLC PAC",5000.0
C00046474,FORD MOTOR COMPANY CIVIC ACTION FUND,1,C00516526,ALLIANCE OF AUTOMOBILE MANUFACTURERS INC POLITICAL ACTION COMMITTEE,5000.0
C00398826,"SUN HEALTHCARE GROUP, INC. POLITICAL ACTION COMMITTEE D/B/A SUN HEALTHCARE P.A.C.",1,C00432336,ALLIANCE FOR QUALITY NURSING HOME CARE INC. POLITICAL ACTION COMMITTEE (AQNHC PAC),5000.0
C00409516,"DIRECT SUPPLY, INC. PARTNERS PAC (DSI PARTNERS PAC)",2,C00432336,ALLIANCE FOR QUALITY NURSING HOME CARE INC. POLITICAL ACTION COMMITTEE (AQNHC PAC),10000.0
C00242271,"KINDRED HEALTHCARE, INC. PAC",1,C00432336,ALLIANCE FOR QUALITY NURSING HOME CARE INC. POLITICAL ACTION COMMITTEE (AQNHC PAC),5000.0
C00421735,DIVERSICARE HEALTHCARE INC. POLITICAL ACTION COMMITTEE,2,C00432336,ALLIANCE FOR QUALITY NURSING HOME CARE INC. POLITICAL ACTION COMMITTEE (AQNHC PAC),10000.0
C00260141,HCR MANOR CARE PAC,2,C00432336,ALLIANCE FOR QUALITY NURSING HOME CARE INC. POLITICAL ACTION COMMITTEE (AQNHC PAC),10000.0
C00467639,MFA PAC,2,C00432336,ALLIANCE FOR QUALITY NURSING HOME CARE INC. POLITICAL ACTION COMMITTEE (AQNHC PAC),10000.0
C00115527,INTERNATIONAL ASSOCIATION OF HEAT AND FROST INSULATORS AND ALLIED WORKERS POLITICAL ACTION COMMITTEE,1,C00436188,ALLIANCE FOR RETIRED AMERICANS POLITICAL ACTION FUND,3000.0
C00391029,JIM COSTA FOR CONGRESS,0,C00119388,ALLIED GRAPE GROWERS PAC,0.0
C00432401,BEN NELSON 2012,1,C00040253,ALLSTATE INSURANCE COMPANY PAC,2000.0
C00291955,OLYMPIA'S LIST,1,C00428094,INTEGRAPAC OF INTEGRA TELECOM HOLDINGS INC.,500.0
C00155358,"A.T. MASSEY COAL COMPANY, INC., PAC",2,C00348524,"ALPHA NATURAL RESOURCES, INC. POLITICAL ACTION COMMITTEE",3925.0
C00201871,NATIONAL PORK PRODUCERS COUNCIL PORK PAC,1,C00422832,ALSTOM PAC INC POLITICAL ACTION COMMITTEE,2500.0
C00013342,UNITED MINE WORKERS OF AMERICA - COAL MINERS POLITICAL ACTION COMMITTEE,1,C00422832,ALSTOM PAC INC POLITICAL ACTION COMMITTEE,1000.0
C00163048,CAP-PAC SEPARATE SEGREGATED FUND OF THE NATIONAL COMMUNITY ACTION FOUNDATION INC,1,C00422832,ALSTOM PAC INC POLITICAL ACTION COMMITTEE,5000.0
C00291955,OLYMPIA'S LIST,1,C00197863,CABLEVISION SYSTEMS CORPORATION POLITICAL ACTION COMMITTEE,1000.0
C00432401,BEN NELSON 2012,1,C00089136,"ALTRIA GROUP, INC. POLITICAL ACTION COMMITTEE (ALTRIAPAC)",2000.0
C00270421,STE. MICHELLE WINE ESTATES LTD. POLITICAL ACTION COMMITTEE,2,C00089136,"ALTRIA GROUP, INC. POLITICAL ACTION COMMITTEE (ALTRIAPAC)",1250.0
C00164418,NEW JERSEY REPUBLICAN STATE COMMITTEE,1,C00089136,"ALTRIA GROUP, INC. POLITICAL ACTION COMMITTEE (ALTRIAPAC)",5000.0
C00431171,"ROMNEY FOR PRESIDENT, INC.",2,C00489948,"ALVAREZ & MARSAL HOLDINGS, LLC PAC",5000.0
C00329292,EDUCATION & OPPORTUNITY FUND II,1,C00032995,AMALGAMATED TRANSIT UNION - COPE,1000.0
C00204370,FRIENDS FOR HARRY REID,1,C00424788,AMBULATORY SURGERY CENTER ASSOCIATION PAC (ASCAPAC),2500.0
C00484410,AMSURG CORP. GOOD GOVERNMENT FUND,1,C00424788,AMBULATORY SURGERY CENTER ASSOCIATION PAC (ASCAPAC),5000.0
C00431304,GET STUFF DONE,2,C00206136,AMEREN FEDERAL POLITICAL ACTION COMMITTEE (AMERENFED PAC),7000.0
C00291955,OLYMPIA'S LIST,1,C00435933,AMERICAN ACADEMY OF NEUROLOGY BRAINPAC,400.0
C00432401,BEN NELSON 2012,1,C00196246,AMERICAN ACADEMY OF OPHTHALMOLOGY INC POLITICAL COMMITTEE (OPHTHPAC),1000.0
C00473132,MCKINLEY FOR CONGRESS,1,C00196246,AMERICAN ACADEMY OF OPHTHALMOLOGY INC POLITICAL COMMITTEE (OPHTHPAC),1000.0
C00280206,CITIZENS FOR ARLEN SPECTER,1,C00196246,AMERICAN ACADEMY OF OPHTHALMOLOGY INC POLITICAL COMMITTEE (OPHTHPAC),-500.0
C00411348,SISTER-ACT COMMITTEE,0,C00365965,AMERICAN ACADEMY OF PEDIATRIC DENTISTRY POLITICAL ACTION COMMITTEE,0.0
C00432732,DAN INOUYE FOR US SENATE,1,C00365965,AMERICAN ACADEMY OF PEDIATRIC DENTISTRY POLITICAL ACTION COMMITTEE,5000.0
C00350785,ILLINOIS LINCOLN PAC,1,C00107300,AMERICAN AIRLINES POLITICAL ACTION COMMITTEE,5000.0
C00202754,FRIENDS OF KENT CONRAD,1,C00168070,AMERICAN AMBULANCE ASSOCIATION FEDERAL PAC (AKA AMBU-PAC),1000.0
C00400317,FULTON FINANCIAL CORPORATION PAC,1,C00168070,AMERICAN AMBULANCE ASSOCIATION FEDERAL PAC (AKA AMBU-PAC),5000.0
C00388132,PRIDE MOBILITY PRODUCTS CORP PAC,1,C00357129,AMERICAN ASSOCIATION FOR HOMECARE POLITICAL ACTION COMMITTEE (AAHOMECARE PAC),1000.0
C00240218,APRIA HEALTHCARE LLC POLITICAL ACTION COMMITTEE,1,C00357129,AMERICAN ASSOCIATION FOR HOMECARE POLITICAL ACTION COMMITTEE (AAHOMECARE PAC),5000.0
C00249896,INVACARE CORPORATION POLITICAL ACTION COMMITTEE AKA INVA PAC,1,C00357129,AMERICAN ASSOCIATION FOR HOMECARE POLITICAL ACTION COMMITTEE (AAHOMECARE PAC),2500.0
C00436097,SUNRISE MEDICAL (US) LLC POLITICAL ACTION COMMITTEE,1,C00357129,AMERICAN ASSOCIATION FOR HOMECARE POLITICAL ACTION COMMITTEE (AAHOMECARE PAC),1500.0
C00448530,"THE ROHO GROUP, INC. PAC (ROHO PAC)",1,C00357129,AMERICAN ASSOCIATION FOR HOMECARE POLITICAL ACTION COMMITTEE (AAHOMECARE PAC),1500.0
C00388694,PRIORITY PAC,1,C00024521,AMERICAN ASSOCIATION FOR JUSTICE POLITICAL ACTION COMMITTEE (AAJ PAC),-5000.0
C00275909,ROBINS KAPLAN PAC,6,C00024521,AMERICAN ASSOCIATION FOR JUSTICE POLITICAL ACTION COMMITTEE (AAJ PAC),12500.0
C00202754,FRIENDS OF KENT CONRAD,1,C00172833,AMERICAN ASSOCIATION OF CROP INSURERS POLITICAL ACTION COMMITTEE (AACI PAC),2500.0
C00432401,BEN NELSON 2012,1,C00172833,AMERICAN ASSOCIATION OF CROP INSURERS POLITICAL ACTION COMMITTEE (AACI PAC),5000.0
C00457234,"MARSH & MCLENNAN COMPANIES, INC. POLITICAL ACTION COMMITTEE (MMCPAC)",1,C00172833,AMERICAN ASSOCIATION OF CROP INSURERS POLITICAL ACTION COMMITTEE (AACI PAC),2000.0
C00279505,RAIN AND HAIL INSURANCE SOCIETY POLITICAL ACTION COMMITTEE,1,C00172833,AMERICAN ASSOCIATION OF CROP INSURERS POLITICAL ACTION COMMITTEE (AACI PAC),5000.0
C00523696,ARMTECH CROP INSURANCE PAC,1,C00172833,AMERICAN ASSOCIATION OF CROP INSURERS POLITICAL ACTION COMMITTEE (AACI PAC),1500.0
C00104752,HATCH ELECTION COMMITTEE INC,1,C00173153,AMERICAN ASSOCIATION OF NURSE ANESTHETISTS SEPARATE SEGREGATED FUND (CRNA-PAC),1500.0
C00202754,FRIENDS OF KENT CONRAD,1,C00173153,AMERICAN ASSOCIATION OF NURSE ANESTHETISTS SEPARATE SEGREGATED FUND (CRNA-PAC),3500.0
C00432401,BEN NELSON 2012,1,C00173153,AMERICAN ASSOCIATION OF NURSE ANESTHETISTS SEPARATE SEGREGATED FUND (CRNA-PAC),2000.0
C00349217,CARPER FOR SENATE,1,C00293910,AMERICAN ASSOCIATION OF ORTHODONTISTS POLITICAL ACTION COMMITTEE,1000.0
C00202754,FRIENDS OF KENT CONRAD,1,C00293910,AMERICAN ASSOCIATION OF ORTHODONTISTS POLITICAL ACTION COMMITTEE,2500.0
C00411587,"BEN CARDIN FOR SENATE, INC.",1,C00293910,AMERICAN ASSOCIATION OF ORTHODONTISTS POLITICAL ACTION COMMITTEE,5000.0
C00291955,OLYMPIA'S LIST,1,C00293910,AMERICAN ASSOCIATION OF ORTHODONTISTS POLITICAL ACTION COMMITTEE,2000.0
C00033555,"FLOWERS FOODS, INC. POLITICAL ACTION COMMITTEE",2,C00016386,AMERICAN BAKERS ASSOCIATION AMERICAN BAKERS POLITICAL ACTION COMMITTEE,10000.0
C00099754,BAKEPAC - THE POLITICAL ACTION COMMITTEE OF THE INDEPENDENT BAKERS ASSOCIATION,1,C00016386,AMERICAN BAKERS ASSOCIATION AMERICAN BAKERS POLITICAL ACTION COMMITTEE,600.0
C00415166,CAMPBELL SOUP COMPANY PAC CAMPBELL PAC,1,C00016386,AMERICAN BAKERS ASSOCIATION AMERICAN BAKERS POLITICAL ACTION COMMITTEE,4000.0
C00094896,PENNSYLVANIA BANKERS ASSOCIATION PUBLIC AFFAIRS COMMITTEE (FEDERAL),4,C00004275,AMERICAN BANKERS ASSOCIATION PAC (BANKPAC),160531.0
C00033423,"HSBC NORTH AMERICA FEDERAL, STATE AND LOCAL POLITICAL ACTION COMMITTEE (HSBC COMBINED PAC)",2,C00004275,AMERICAN BANKERS ASSOCIATION PAC (BANKPAC),5000.0
C00326595,CAPITAL ONE FINANCIAL CORP. ASSOC. POLITICAL FUND,1,C00004275,AMERICAN BANKERS ASSOCIATION PAC (BANKPAC),5000.0
C00328278,ARKANSAS BANKERS ASSOCIATION PAC INC,2,C00004275,AMERICAN BANKERS ASSOCIATION PAC (BANKPAC),60000.0
C00172494,MISSOURI BANKERS ASSOCIATION FEDERAL PAC,4,C00004275,AMERICAN BANKERS ASSOCIATION PAC (BANKPAC),127250.0
C00101626,VIRGINIA BANKERS ASSOCIATION FEDERAL PAC,2,C00004275,AMERICAN BANKERS ASSOCIATION PAC (BANKPAC),210000.0
C00102731,COLORADO BANKERS ASSOCIATION POLITICAL ACTION COMMITTEE,2,C00004275,AMERICAN BANKERS ASSOCIATION PAC (BANKPAC),57866.0
C00334193,FIRST CITIZENS BANCSHARES INC POLITICAL ACTION COMMITTEE (FIRST CITIZENS BANCSHARES PAC),1,C00004275,AMERICAN BANKERS ASSOCIATION PAC (BANKPAC),1500.0
C00035253,OREGON BANKERS ASSOCIATION POLITICAL ACTION COMMITTEE,2,C00004275,AMERICAN BANKERS ASSOCIATION PAC (BANKPAC),53000.0
C00178012,PEOPLE'S BANK FEDERAL POLITICAL ACTION COMMITTEE,1,C00004275,AMERICAN BANKERS ASSOCIATION PAC (BANKPAC),5000.0
C00103861,SOUTH CAROLINA BANKERS POLITICAL ACTION COMMITTE,2,C00004275,AMERICAN BANKERS ASSOCIATION PAC (BANKPAC),20960.0
C00106716,MISSISSIPPI BANKERS POLITICAL ACTION COMMITTEE-FEDERAL FUND,4,C00004275,AMERICAN BANKERS ASSOCIATION PAC (BANKPAC),34500.0
C00194191,NBSC PAC,1,C00004275,AMERICAN BANKERS ASSOCIATION PAC (BANKPAC),1500.0
C00039941,ARIZONA BANKERS ASSOCIATION POLITICAL ACTION COMMITTEE,2,C00004275,AMERICAN BANKERS ASSOCIATION PAC (BANKPAC),26000.0
C00196444,TEXAS BANKERS ASSOCIATION-BANKERS POLITICAL ACTION COMMITTEE,4,C00004275,AMERICAN BANKERS ASSOCIATION PAC (BANKPAC),244600.0
C00197095,THE NORTHWESTERN MUTUAL LIFE INSURANCE CO. FEDERAL PAC (NORTHWESTERN MUTUAL FEDERAL PAC),2,C00004275,AMERICAN BANKERS ASSOCIATION PAC (BANKPAC),6000.0
C00108605,CONNECTICUT BANKERS ASSOCIATION POLITICAL ACTION COMMITTEE (CBA FED PAC),2,C00004275,AMERICAN BANKERS ASSOCIATION PAC (BANKPAC),30000.0
C00109678,NEW HAMPSHIRE BANKERS ASSOCIATION FEDERAL BANKPAC,3,C00004275,AMERICAN BANKERS ASSOCIATION PAC (BANKPAC),22433.0
C00366633,STAR FINANCIAL BANK PAC,2,C00004275,AMERICAN BANKERS ASSOCIATION PAC (BANKPAC),2000.0
C00367094,"ALABAMA BANKERS ASSOCIATION, INC. PAC",3,C00004275,AMERICAN BANKERS ASSOCIATION PAC (BANKPAC),45147.0
C00374371,UTAH BANKERS ASSOCIATION ACTION PAC,4,C00004275,AMERICAN BANKERS ASSOCIATION PAC (BANKPAC),36300.0
C00114090,WASHINGTON BANKERS ASSOCIATION POLITICAL ACTION COMMITTEE,3,C00004275,AMERICAN BANKERS ASSOCIATION PAC (BANKPAC),39000.0
C00048181,WISCONSIN BANKERS ASSOCIATION (WISBANKPAC),3,C00004275,AMERICAN BANKERS ASSOCIATION PAC (BANKPAC),54500.0
C00114447,TENNESSEE BANKERS ASSOCIATION FEDERAL POLITICAL ACTION COMMITTEE,2,C00004275,AMERICAN BANKERS ASSOCIATION PAC (BANKPAC),85961.0
C00115832,INDIANA BANKERS ASSOCIATION INDIANA BANKPAC - FEDERAL,5,C00004275,AMERICAN BANKERS ASSOCIATION PAC (BANKPAC),56000.0
C00056523,IDAHO BANKERS POLITICAL ACTION COMMITTEE,3,C00004275,AMERICAN BANKERS ASSOCIATION PAC (BANKPAC),35294.0
C00116988,SAVINGS ASSOCIATIONS VOLUNTARY POLITICAL ACTION COMMITTEE-WASHINGTON FINANCIAL LEAGUE,1,C00004275,AMERICAN BANKERS ASSOCIATION PAC (BANKPAC),5000.0
C00221507,MASSACHUSETTS BANKERS PAC-FEDERAL FUND,4,C00004275,AMERICAN BANKERS ASSOCIATION PAC (BANKPAC),44000.0
C00117911,NORTH DAKOTA BANKERS ASSOCIATION POLITICAL ACTION COMMITTEE,5,C00004275,AMERICAN BANKERS ASSOCIATION PAC (BANKPAC),29000.0
C00062836,KENTUCKY BANKERS ASSOCIATION POLITICAL ACTION COMMITTEE,2,C00004275,AMERICAN BANKERS ASSOCIATION PAC (BANKPAC),63909.0
C00011627,MINNESOTA BANKERS POLITICAL ACTION COMMITTEE,1,C00004275,AMERICAN BANKERS ASSOCIATION PAC (BANKPAC),38436.0
C00012484,FLORIDA BANKERS ASSOCIATION POLITICAL ACTION COMMITTEE,2,C00004275,AMERICAN BANKERS ASSOCIATION PAC (BANKPAC),115000.0
C00127910,DELAWARE BANKERS ASSOCIATION DELBANKPAC - F FUND,5,C00004275,AMERICAN BANKERS ASSOCIATION PAC (BANKPAC),13600.0
C00128512,JPMORGAN CHASE & CO. PAC,2,C00004275,AMERICAN BANKERS ASSOCIATION PAC (BANKPAC),10000.0
C00128918,PRINCIPAL LIFE INSURANCE COMPANY POLITICAL ACTION COMMITTEE,2,C00004275,AMERICAN BANKERS ASSOCIATION PAC (BANKPAC),6000.0
C00074799,OHIO BANKERS LEAGUE POLITICAL ACTION COMMITTEE (FEDERAL),7,C00004275,AMERICAN BANKERS ASSOCIATION PAC (BANKPAC),82000.0
C00130385,CENTRAL PACIFIC BANK FED PAC AKA; CPB PAC-FED,1,C00004275,AMERICAN BANKERS ASSOCIATION PAC (BANKPAC),2630.0
C00414508,MB FINANCIAL INC POLITICAL ACTION COMMITTEE,1,C00004275,AMERICAN BANKERS ASSOCIATION PAC (BANKPAC),5000.0
C00018036,U.S. BANCORP POLITICAL PARTICIPATION PROGRAM,2,C00004275,AMERICAN BANKERS ASSOCIATION PAC (BANKPAC),10000.0
C00423459,WYOMING BANKERS ASSOCIATION BANKPAC,2,C00004275,AMERICAN BANKERS ASSOCIATION PAC (BANKPAC),23175.0
C00076893,MARYLAND BANKERS ASSOCIATION POLITICAL ACTION COMMITTEE (AKA MARYLAND BANKPAC),2,C00004275,AMERICAN BANKERS ASSOCIATION PAC (BANKPAC),37100.0
C00249995,NORTH CAROLINA BANKERS ASSOCIATION POLITICAL ACTION COMMITTEE,2,C00004275,AMERICAN BANKERS ASSOCIATION PAC (BANKPAC),120000.0
C00139477,OKLAHOMA BANKERS ASSOCIATION FEDERAL PUBLIC AFFAIRS COMMITTEE,2,C00004275,AMERICAN BANKERS ASSOCIATION PAC (BANKPAC),80000.0
C00139568,ILLINOIS BANKERS ASSOCIATION PAC (ILLINOIS BANKERS PAC),2,C00004275,AMERICAN BANKERS ASSOCIATION PAC (BANKPAC),85000.0
C00140707,LOUISIANA BANKERS ASSOCIATION FED PAC,2,C00004275,AMERICAN BANKERS ASSOCIATION PAC (BANKPAC),60000.0
C00436055,SOUTH DAKOTA BANKERS ASSOCIATION PUBLIC AFFAIRS COMMITTEE (SDBANKPAC),2,C00004275,AMERICAN BANKERS ASSOCIATION PAC (BANKPAC),19966.0
