affiliated_committee_name,candidate_ids,committee_id,committee_type,designation_type,name,organization_type,state,topic_weight,summary
,[],C00488296,PAC - Nonqualified,Unauthorized,40 SEATS ,,CA,,
NONE,[],C00469254,PAC - Nonqualified,Unauthorized,40TH ASSEMBLY DISTRICT (R) CENTRAL COMMITTEE (FEDERAL),,CA,,
NONE,[],C00525105,Super PAC (Independent Expenditure-Only),Unauthorized,420PAC.ORG,,CA,,
DEM ST CENT CMTE CA-FED,['H2CA00104'],C00527333,PAC - Nonqualified,Joint fundraising committee,47TH VICTORY FUND,,CA,,
NONE,[],C00412023,PAC - Nonqualified,Unauthorized,4-STAR DEMOCRATIC CLUB,,CA,,
,[],C00099465,Party - Qualified,Unauthorized,4TH CONGRESSIONAL DISTRICT DEMOCRATIC COMMITTEE,,MI,,
REPUBLICAN PARTY OF WISCONSIN,[],C00531525,Party - Qualified,Unauthorized,4TH CONGRESSIONAL DISTRICT OF WISCONSIN REPUBLICAN CLUB,,WI,,
,[],C00359208,Party - Qualified,Unauthorized,4TH CONGRESSIONAL DISTRICT REPUBLICAN PARTY OF MINNESOTA,,MN,,
COOK COUNTY DEMOCRATIC PARTY,[],C00397810,Party - Nonqualified,Unauthorized,4TH WARD DEMOCRATIC ORGANIZATION,,IL,,
500 CLUB,[],C00191387,PAC - Qualified,Unauthorized,500 CLUB,Membership Organization,CT,,
,[],C00502633,Super PAC (Independent Expenditure-Only),Unauthorized,50 STATE STRATEGY,,CA,,
NONE,[],C00439299,PAC - Nonqualified,Unauthorized,54TH ASSEMBLY DISTRICT DEMOCRATIC CLUB,,CA,,
,[],C00409011,Party - Nonqualified,Unauthorized,55TH PRESIDENTIAL INAUGURAL COMMITTEE,,DC,,
,[],C90009614,Independent expenditure filer (not a committee),Unauthorized,5TH CONGRESSIONAL DISTRICT INDEPENDENCE PARTY,,MN,,
REPUBLICAN PARTY OF VIRGINIA INC,[],C00454751,Party - Nonqualified,Unauthorized,5TH CONGRESSIONAL DISTRICT OF VIRGINIA REPUBLICAN COMMITTEE,,VA,,
,[],C00426205,Party - Qualified,Unauthorized,5TH CONGRESSIONAL DISTRICT RPM,,MN,,
NONE,[],C00422527,PAC - Nonqualified,Unauthorized,613 PAC,,IL,,
NONE,[],C00431890,PAC - Nonqualified,Unauthorized,67TH AREA DEMOCRATIC ALLIANCE,,CA,,
VIRGINIA DEMOCRATIC PARTY,[],C00003897,Party - Qualified,Unauthorized,6TH CONGRESSIONAL DISTRICT DEMOCRATIC COMMITTEE OF VIRGINIA,,VA,,
NONE,[],C00005801,Party - Qualified,Unauthorized,6TH CONGRESSIONAL DISTRICT REPUBLICAN FEDERAL COMMITTEE,,VA,,
NONE,[],C00508457,Party - Nonqualified,Unauthorized,70TH ASSEMBLY DISTRICT DEMOCRATIC COALITION TASK FORCE,,CA,,
,[],C00506725,Party - Nonqualified,Unauthorized,72ND ASSEMBLY DEMOCRATIC ALLIANCE ,,CA,,
MICHIGAN DEMOCRATIC STATE CENTRAL COMMITTEE,[],C00348003,Party - Qualified,Unauthorized,7TH CONGRESSIONAL DISTRICT DEMOCRATIC PARTY COMMITTEE,,MI,,
DEMOCRATIC PARTY OF WISCONSIN,[],C00368159,Party - Nonqualified,Unauthorized,7TH CONGRESSIONAL DISTRICT DEMOCRATIC PARTY OF WISCONSIN,,WI,,
NONE,[],C00388587,Party - Qualified,Unauthorized,7TH DISTRICT CONGRESSIONAL REPUBLICAN COMMITTEE,,MO,,
NONE,[],C00454702,PAC - Nonqualified,Unauthorized,7TH DISTRICT FEDERAL CAMPAIGN COMMITTEE,,MI,,
REPUBLICAN PARTY OF VIRGINIA INC,[],C00189100,Party - Qualified,Unauthorized,7TH DISTRICT REPUBLICAN COMMITTEE,,VA,,
,[],C00188078,Party - Qualified,Unauthorized,7TH DISTRICT REPUBLICAN PARTY OF WISCONSIN,,WI,,
MICHIGAN DEMOCRATIC STATE CENTRAL COMMITEE,[],C00319681,Party - Nonqualified,Unauthorized,8TH DISTRICT DEMOCRATIC COMMITTEE,,MI,,
REPUBLICAN PARTY OF VIRGINIA INC,[],C00043919,Party - Qualified,Unauthorized,8TH DISTRICT REPUBLICAN COMMITTEE (VA),,VA,,
912 PROJECT TENNESSEE,[],C00493353,PAC - Nonqualified,Unauthorized,912 PROJECT TENNESSEE VICTORY FUND,Corporation w/o capital stock,TN,,
CAIN CONNECTIONS PAC,[],C00504241,Super PAC (Independent Expenditure-Only),Unauthorized,9-9-9 FUND,,VA,,
NONE,[],C00508499,Party - Nonqualified,Unauthorized,999 PARTY; THE,,NV,,
,[],C90010166,Independent expenditure filer (not a committee),Unauthorized,"AALA, MARIBETH",,NY,,
,[],C00519991,Super PAC (Independent Expenditure-Only),Unauthorized,ABAMCIS SECURING THE SECOND AMENDMENT FOR AMERICA'S FUTURE,,CT,,
NONE,[],C00424861,PAC - Nonqualified,Unauthorized,ABBAPAC: FKA AMERICANS FOR A BALANCED BUDGET,,TX,,
,[],C00527754,Super PAC (Independent Expenditure-Only),Unauthorized,ABBEY ROAD,,OH,,
ABBOTT LABORATORIES,[],C00040279,PAC - Qualified,Lobbyist/Registrant PAC,ABBOTT LABORATORIES EMPLOYEE POLITICAL ACTION COMMITTEE,Corporation,IL,,
ABBVIE,[],C00536573,PAC - Qualified,Lobbyist/Registrant PAC,ABBVIE POLITICAL ACTION COMMITTEE,Corporation,IL,,
YOUNG GUNS 2012 ROUND 2,['H2CA23106'],C00493379,House,Principal campaign committee,ABEL MALDONADO FOR CONGRESS,,CA,,
ABENGOA SOLAR INC,[],C00494666,PAC - Nonqualified,Unauthorized,ABENGOA SOLAR INC POLITICAL ACTION COMMITTEE,Corporation,CO,,
,['H6HI01121'],C00247379,House,Authorized by a candidate,ABERCROMBIE FOR CONGRESS,,HI,,
,[],C90013822,Independent expenditure filer (not a committee),Unauthorized,A BETTER AMERICA NOW INC.,,FL,,
,['H0NY25086'],C00485128,House,Principal campaign committee,A BETTER CHOICE (ABC) MARC ROMAIN,,NY,,
NONE,[],C00517201,Super PAC (Independent Expenditure-Only),Unauthorized,A BETTER CONGRESS PAC,,CA,,
NONE,[],C00343368,PAC - Nonqualified,Unauthorized,"ABILITIES, PAC",,FL,,
"ABIOMED, INC.",[],C00426445,PAC - Qualified,Lobbyist/Registrant PAC,ABIOMED INC POLITICAL ACTION COMMITTEE (ABIOMED PAC),Corporation,MA,,
,[],C00494765,PAC - Nonqualified,Unauthorized,ABM INDUSTRIES INCORPORATED PAC,Corporation,NY,,
,[],C00504779,Super PAC (Independent Expenditure-Only),Unauthorized,ABO 2012 SUPER PAC INC,,WY,,
,[],C00523878,Super PAC (Independent Expenditure-Only),Unauthorized,ABOLISH RECALLS,,WI,,
VICTORY 2020,[],C00492140,Hybrid PAC (with Non-Contribution Account) - Nonqualified,Unauthorized,AB PAC,,DC,,
,[],C90006586,Independent expenditure filer (not a committee),Unauthorized,"ABRAHAM, PHILIP F",,VA,,
,[],C90007964,Independent expenditure filer (not a committee),Unauthorized,"ABRAMS, PAUL G",,WA,,
NONE,[],C00308460,PAC - Qualified,Unauthorized,A BRTHD AIMED TOWARD EDUC OF IL FED ELEC DEVICE FOR POLITICALLY ACTIVE MOTORCYCLISTS...,Membership Organization,IL,,
ABSOLUTE ENERGY LLC,[],C00455048,PAC - Qualified,Unauthorized,ABSOLUTE ENERGY PAC,,IA,,
ACADEMY OF DOCTORS OF AUDIOLOGY,[],C00351015,PAC - Qualified,Unauthorized,ACADEMY OF DOCTORS OF AUDIOLOGY POLITICAL ACTION COMMITTEE,Trade Association,KY,,
ACADEMY OF NURITION AND DIETETICS,[],C00143560,PAC - Qualified,Unauthorized,ACADEMY OF NUTRITION AND DIETETICS POLITICAL ACTION COMMITTEE,Membership Organization,DC,,
"ACADIA HEALTHCARE COMPANY, INC.",[],C00496919,PAC - Qualified,Unauthorized,ACADIA HEALTHCARE COMPANY INC. FEDPAC,Corporation,TN,,
NONE,[],C00335570,PAC - Qualified,Unauthorized,"ACADIAN AMBULANCE  SERVICE EMPLOYEE FEDERAL POLITICAL ACTION COMMITTEE, INC.",Corporation,LA,,
NONE,[],C00491415,PAC - Nonqualified,Unauthorized,A CALIFORNIA WORTH STAYING FOR GILL POLITICAL ACTION COMMITTEE,,CA,,
,[],C00525998,Super PAC (Independent Expenditure-Only),Unauthorized,A CANTOR OUT OF TUNE,,CA,,
ACCENTURE INC.,[],C00429944,PAC - Nonqualified,Unauthorized,ACCENTURE INC. NATIONAL STATE AND LOCAL PAC,Corporation,DC,,
"ACCENTURE, INC.",[],C00300707,PAC - Qualified,Lobbyist/Registrant PAC,ACCENTURE INC. POLITICAL ACTION COMMITTEE,Corporation,DC,,
,[],C00513507,Super PAC (Independent Expenditure-Only),Unauthorized,ACCOMPLISH OUR MISSION,,UT,,
NONE,[],C00489641,Super PAC (Independent Expenditure-Only),Unauthorized,ACCOUNTABILITY 2010,,MA,,
NONE,[],C00534099,Super PAC (Independent Expenditure-Only),Unauthorized,ACCOUNTABILITY COALITION,,NH,,
,[],C00491001,PAC - Nonqualified,Unauthorized,ACCOUNTABILITY IN CONGRESS MATTERS PAC,,SD,,
NONE,[],C00452177,PAC - Nonqualified,Unauthorized,ACCOUNTABILITY NOW PAC,,VA,,
BILL POSEY,[],C00471813,PAC - Nonqualified,Leadership PAC,ACCOUNTABILITY PAC,,VA,,
,[],C30001515,Electioneering Communication,Unauthorized,ACCOUNTABLE AMERICA INC,,DC,,
NONE,[],C00482455,PAC - Nonqualified,Unauthorized,ACCOUNTABLE CONGRESS CAMPAIGN COMMITTEE,,CA,,
BERKSHIRE HATHAWAY ENERGY COMPANY PAC,[],C00424010,PAC - Qualified,Unauthorized,ACME BRICK COMPANY GOOD GOVERNMENT FUND FOR FEDERAL ELECTIONS,Corporation,TX,,
,[],C00511113,PAC - Nonqualified,Unauthorized,A COMPLETELY LEGITIMATE SUPER PAC,,CA,,
NONE,[],C00513200,Super PAC (Independent Expenditure-Only),Unauthorized,A CONGRESS THAT WORKS,,OH,,
ACA INTERNATIONAL,[],C00034785,PAC - Qualified,Lobbyist/Registrant PAC,ACPAC ACA INTERNATIONAL POLITICAL ACTION COMMITTEE,Trade Association,MI,tw_banking_and_finance,Financial Businesses
,[],C00418855,PAC - Qualified,Unauthorized,ACP-RXPAC,,DC,,
,[],C00528372,Super PAC (Independent Expenditure-Only),Unauthorized,A CRITICAL CHOICE FOR AMERICA POLITICAL ACTION COMMITTEE,,DC,,
ACTAVIS INC,[],C00498071,PAC - Nonqualified,Unauthorized,ACTAVIS PAC,Corporation,NJ,,
NONE,[],C00401224,Hybrid PAC (with Non-Contribution Account) - Nonqualified,Unauthorized,ACTBLUE,,MA,,
,[],C00212035,PAC - Qualified,Unauthorized,ACT DEMOCRATIC VICTORY FUND,Membership Organization,CA,,
,[],C00508788,Super PAC (Independent Expenditure-Only),Unauthorized,ACTION4LIBERTY,,MN,,
ACTION COMMITTEE FOR RURAL ELECTRIFICATION. (ACRE) NATIONAL RURAL ELECTRIC COOPERATIVE,[],C00008169,PAC - Qualified,Unauthorized,ACTION COMMITTEE FOR RURAL ELECTRIFICATION/MISSOURI COOPERATIVES (FKA MISSOURI ACRE),Cooperative,MO,,
,[],C00528257,PAC - Nonqualified,Unauthorized,ACTIONPOINTS,Membership Organization,CA,,
NONE,[],C00447946,PAC - Nonqualified,Unauthorized,ACTION POLITICAL ACTION COMMITTEE,,PA,,
NONE,[],C00422485,PAC - Qualified,Unauthorized,ACT NOW PAC INC,Corporation,NY,,
LAW FUND,[],C00411579,PAC - Qualified,Leadership PAC,ACTON PAC,,GA,,
NONE,[],C00488478,Hybrid PAC (with Non-Contribution Account) - Nonqualified,Unauthorized,ACTRIGHT,,DC,,
ORIENTAL MEDICINE ASSOC OF NEW MEXICO,[],C00341156,PAC - Nonqualified,Unauthorized,ACUPUNCTURE AND ORIENTAL MEDICINE ASSOCIATION OF NEW MEXICO; THE,Corporation,NM,,
NONE,[],C00233353,PAC - Qualified,Lobbyist/Registrant PAC,AD ALLIANCE,,MD,,
NONE,['H2FL22098'],C00526988,PAC - Nonqualified,Joint fundraising committee,ADAM HASNER FLORIDA VICTORY COMMITTEE,,FL,,
ADAM HASNER FLORIDA VICTORY COMMITTEE,['H2FL22098'],C00495531,House,Principal campaign committee,ADAM HASNER FOR US HOUSE,,FL,,
,['H2PA09100'],C00523654,House,Principal campaign committee,ADAM SEDLOCK FOR CONGRESS,,PA,,
,['H6FL11175'],C00522797,House,Principal campaign committee,ADAMS FOR CONGRESS,,FL,,
NONE,['H6FL11175'],C00467860,House,Authorized by a candidate,ADAMS FOR CONGRESS,,FL,,
ARIZONA WASHINGTON VICTORY FUND,['H6WA09025'],C00304709,House,Principal campaign committee,ADAM SMITH FOR CONGRESS COMMITTEE,,WA,,
,[],C00413930,PAC - Nonqualified,Unauthorized,ADAMS OUTDOOR ADVERTISING INC PAC AKA: ADAMSPAC,Corporation,MI,,
,[],C90006610,Independent expenditure filer (not a committee),Unauthorized,"ADAMS, STEPHEN",,CT,,
XPERI HOLDING CORPORATION,[],C00443739,PAC - Nonqualified,Unauthorized,ADEIA INC POLITICAL ACTION COMMITTEE (ADEIA PAC),Corporation,CA,,
,[],C00528133,Super PAC (Independent Expenditure-Only),Lobbyist/Registrant PAC,ADELANTE BORICUA,,PR,,
WILLIAM L OWENS,[],C00508929,PAC - Nonqualified,Leadership PAC,ADIRONDACK JOBS PAC,Labor Organization,DC,,
,['H2KY04139'],C00514018,House,Principal campaign committee,ADKINS FOR CONGRESSS,,KY,,
,['H8NJ03156'],C00439067,House,Principal campaign committee,ADLER FOR CONGRESS,,NJ,,
,['H6TX23166'],C00428771,House,Principal campaign committee,ADRIAN DELEON FOR CONGRESS,,TX,,
ADRIAN SMITH VICTORY FUND (2022),['H6NE03115'],C00412890,House,Principal campaign committee,ADRIAN SMITH FOR CONGRESS,,NE,,
ADTALEM GLOBAL EDUCATION,[],C00198606,PAC - Qualified,Lobbyist/Registrant PAC,ADTALEM GLOBAL EDUCATION INC. POLITICAL ACTION COMMITTEE,Corporation,IL,,
"A DUDA & SONS, INC POLITICAL ACTION COMMITTEE",[],C00213231,PAC - Qualified,Unauthorized,"A DUDA & SONS, INC POLITICAL ACTION COMMITTEE",Corporation,FL,,
MIKE ROSS,[],C00402412,PAC - Nonqualified,Leadership PAC,ADVANCE ARKANSAS POLITICAL ACTION COMMITTEE,,AR,,
ADVANCED ACCOUSTIC CONCEPTS LLC,[],C00366385,PAC - Qualified,Unauthorized,ADVANCED ACOUSTIC CONCEPTS LLC PAC,Corporation,NY,,
ACT 1 FEDERAL LLC,[],C00448779,PAC - Nonqualified,Unauthorized,ADVANCED CONCEPTS AND TECHNOLOGIES INTERNATIONAL LLC POLITICAL ACTION COMMITTEE,Corporation w/o capital stock,VA,,
ADVANCED MEDICAL TECHNOLOGY ASSOCIATION,[],C00340356,PAC - Qualified,Lobbyist/Registrant PAC,ADVANCED MEDICAL TECHNOLOGY ASSOCIATION POLITICAL ACTION COMMITTEE,Trade Association,DC,,
"ADVANCED MICRO DEVICES, INC.",[],C00404483,PAC - Nonqualified,Lobbyist/Registrant PAC,"ADVANCED MICRO DEVICES, INC. PAC",Corporation,VA,,
ADVANCED SOLUTIONS FOR TOMORROW INC,[],C00428680,PAC - Nonqualified,Unauthorized,ADVANCED SOLUTIONS FOR TOMORROW INC PAC AKA ASFT INC PAC,Corporation,GA,,
ADVANCED TECHNOLOGY SERVICES INC,[],C00447573,PAC - Nonqualified,Unauthorized,ADVANCED TECHNOLOGY SERVICES INC PAC,Corporation,IL,,
,[],C00368571,PAC - Qualified,Leadership PAC,ADVANCE THE MAJORITY POLITICAL ACTION COMMITTEE,,FL,,
FEDERATION OF STRAIGHT CHIROPRACTORS AND ORGANIZATIONS,[],C00410381,PAC - Nonqualified,Unauthorized,ADVANCING CHIROPRACTIC PAC  (FEDERATION OF STRAIGHT CHIROPRACTORS AND ORGANIZATIONS),Membership Organization,PA,,
SUPPORTING CONSERVATIVES OF TODAY AND TOMORROW (SCOTT PAC),['H8NJ05052'],C00386110,House,Unauthorized,ADVANCING CONSERVATIVE ENTERPRISES PAC,,NJ,,
NONE,[],C00526061,Super PAC (Independent Expenditure-Only),Unauthorized,ADVANCING FREEDOM ACTION NETWORK,,OH,,
,[],C00540047,Super PAC (Independent Expenditure-Only),Unauthorized,ADVANCING INTERNATIONAL RELATIONS,,IA,,
,[],C00510115,Super PAC (Independent Expenditure-Only),Unauthorized,ADVANCING MANUFACTURING AND INDUSTRY IN AMERICA PAC,,OH,,
,[],C90010604,Independent expenditure filer (not a committee),Unauthorized,ADVANCING WISCONSIN INC,,WI,,
NONE,[],C00515973,PAC - Nonqualified,Unauthorized,ADVOCATES FOR NEW HAMPSHIRE PATIENTS,Membership Organization,NH,,
,[],C90007394,Independent expenditure filer (not a committee),Unauthorized,ADVOCATES PLANNED PARENTHOOD OF LOUISVILLE AND WESTERN KY,,KY,,
,[],C90005927,Independent expenditure filer (not a committee),Unauthorized,ADVOCATES THE POLITICAL ARM OF PLANNED PARENTHOOD OF THE ST LOUIS REGION,,MO,,
ADVOCATING FOR CARE TOGETHER,[],C00539874,PAC - Nonqualified,Unauthorized,ADVOCATING FOR CARE TOGETHER PAC INC,Corporation,KS,,
AECOM,[],C00374447,PAC - Qualified,Lobbyist/Registrant PAC,AECOM PAC,Corporation,DC,,
NONE,[],C00483891,Hybrid PAC (with Non-Contribution Account) - Qualified,Lobbyist/Registrant PAC,AEE ACTION FUND,,DC,,
AEROFLEX INCORPORATED,[],C00422824,PAC - Nonqualified,Lobbyist/Registrant PAC,AEROFLEX INCORPORATED PAC,Corporation,NY,,
AEROJET ROCKETDYNE AN L3HARRIS TECHNOLOGIES COMPANY,[],C00129122,PAC - Qualified,Lobbyist/Registrant PAC,AEROJET ROCKETDYNE AN L3HARRIS TECHNOLOGIES COMPANY PAC,Corporation,DC,tw_defense_and_foreign_policy,Defense Businesses
AERONAUTICAL REPAIR STATION ASSOCIATION,[],C00409029,PAC - Qualified,Lobbyist/Registrant PAC,AERONAUTICAL REPAIR STATION ASSOCIATION POLITICAL ACTION COMMITTEE,Trade Association,VA,,
AEROSPACE AND DEFENSE POLITICAL ACTION COMMITTEE,[],C00251728,PAC - Qualified,Unauthorized,AEROSPACE AND DEFENSE POLITICAL ACTION COMMITTEE,Labor Organization,NJ,tw_defense_and_foreign_policy,Defense Businesses
AEROSPACE DISTRICT LODGE 837 IAMAW,[],C00169151,PAC - Qualified,Unauthorized,AEROSPACE DISTRICT LODGE 837-IAMAC-PAC,Labor Organization,MO,,
AEROSPACE INDUSTRIES ASSOCIATION OF AMERICA INC,[],C00464453,PAC - Nonqualified,Lobbyist/Registrant PAC,AEROSPACE INDUSTRIES ASSOCIATION OF AMERICA INC POLITICAL ACTION COMMITTEE (AIAPAC),Trade Association,VA,,
THE AES CORPORATION,[],C00507962,PAC - Qualified,Lobbyist/Registrant PAC,AES CORPORATION POLITICAL ACTION COMMITTEE; THE,Corporation,VA,,
AES EASTERN ENERGY L P,[],C00363796,PAC - Nonqualified,Unauthorized,AES EASTERN ENERGY L P FEDERAL POLITICAL ACTION COMMITTEE,Corporation,NY,,
AETNA INC.,[],C00181826,PAC - Qualified,Lobbyist/Registrant PAC,AETNA INC. POLITICAL ACTION COMMITTEE,Corporation,DC,,
"AFFILIATED COMPUTER SERVICES,  INC.",[],C00248245,PAC - Qualified,Lobbyist/Registrant PAC,AFFILIATED COMPUTER SERVICES INC. GOOD GOVERNMENT COMMITTEE,Corporation,DC,,
AFFINITY FEDERAL CREDIT UNION,[],C00337113,PAC - Qualified,Unauthorized,AFFINITY FEDERAL CREDIT UNION POLITICAL ACTION COMMITTEE (AFFINITY PAC),Corporation,NJ,tw_banking_and_finance,Financial Businesses
,[],C00523159,Super PAC (Independent Expenditure-Only),Unauthorized,AFFORDABLE HEALTH CARE FOR AMERICA PAC,,NY,,
WARRIORS FOR LIBERTY,[],C00459412,PAC - Qualified,Unauthorized,AFGHANISTAN & IRAQ VETERANS FOR CONGRESS PAC,,NY,,
AFLAC,[],C00034157,PAC - Qualified,Lobbyist/Registrant PAC,AFLAC POLITICAL ACTION COMMITTEE (AFLAC PAC),Corporation,GA,tw_banking_and_finance,Financial Businesses
,[],C90011255,Independent expenditure filer (not a committee),Unauthorized,AFL-CIO COMMITTEE ON POLITICAL EDUCATION TREASURY ACCOUNT,,DC,tw_labor,Labor Unions
